,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,15,,,,,,,,,,,,,,
2,14,,,,,,,,,,,,,,
3,0,15.0,,,,,,,,,,,,,
4,9,13.0,14.0,,,,,,,,,,,,
5,7,14.0,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,
8,11,,,,,,,,,,,,,,
9,2,3.0,4.0,6.0,7.0,10.0,15.0,,,,,,,,
10,5,14.0,,,,,,,,,,,,,
11,3,,,,,,,,,,,,,,
12,8,15.0,,,,,,,,,,,,,
13,0,13.0,,,,,,,,,,,,,
14,0,3.0,4.0,6.0,,,,,,,,,,,
15,3,6.0,10.0,12.0,,,,,,,,,,,
16,9,13.0,,,,,,,,,,,,,
17,9,,,,,,,,,,,,,,
18,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,9.0,10.0,12.0,13.0,14.0,15.0,
19,13,,,,,,,,,,,,,,
20,9,12.0,13.0,14.0,,,,,,,,,,,
21,13,,,,,,,,,,,,,,
22,13,,,,,,,,,,,,,,
23,13,14.0,,,,,,,,,,,,,
24,0,1.0,3.0,4.0,6.0,9.0,10.0,12.0,15.0,,,,,,
25,14,,,,,,,,,,,,,,
26,7,9.0,,,,,,,,,,,,,
27,2,,,,,,,,,,,,,,
28,0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0
29,1,8.0,15.0,,,,,,,,,,,,
30,13,14.0,,,,,,,,,,,,,
31,2,,,,,,,,,,,,,,
32,12,15.0,,,,,,,,,,,,,
33,1,2.0,6.0,9.0,11.0,12.0,13.0,14.0,,,,,,,
34,0,,,,,,,,,,,,,,
35,7,14.0,,,,,,,,,,,,,
36,0,3.0,5.0,6.0,7.0,10.0,12.0,14.0,15.0,,,,,,
37,13,14.0,,,,,,,,,,,,,
38,2,,,,,,,,,,,,,,
39,15,,,,,,,,,,,,,,
40,0,3.0,4.0,5.0,7.0,9.0,11.0,14.0,,,,,,,
41,0,1.0,2.0,3.0,4.0,6.0,7.0,9.0,10.0,12.0,15.0,,,,
42,0,1.0,3.0,4.0,7.0,10.0,12.0,15.0,,,,,,,
43,13,14.0,,,,,,,,,,,,,
44,1,2.0,,,,,,,,,,,,,
45,8,,,,,,,,,,,,,,
46,12,,,,,,,,,,,,,,
47,8,10.0,11.0,12.0,,,,,,,,,,,
48,2,5.0,6.0,7.0,9.0,13.0,14.0,15.0,,,,,,,
49,14,,,,,,,,,,,,,,
51,0,1.0,5.0,10.0,11.0,12.0,13.0,14.0,15.0,,,,,,
52,13,,,,,,,,,,,,,,
53,12,15.0,,,,,,,,,,,,,
54,6,,,,,,,,,,,,,,
