dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,3.8433528,-3.1880286,1.0151318,4.0578136,2.1651583,2.134544,-1.0152929,0.12204845,-4.269187,2.4779248,0.8723761,-3.3403919,-1.0913577,1.7001932,-2.2661653,1.8937261,-1.0454277,3.4449425,0.72868,1.5394795,4.1116652,5.033615,-1.5315692,0.25433847,-1.9258463,4.506664,-2.5407252,2.4874158,4.627401,3.3683105,4.0278807,-3.254575
2,3.7033687,-2.6671844,0.11473858,3.8123868,1.8435224,2.5279078,-1.8251059,-1.1248214,-4.695471,3.139055,-0.28642207,-3.5952365,-0.7468742,1.275351,-2.4934793,1.4873658,-1.8840554,3.9486816,0.6565304,2.6608694,4.419029,5.2117624,-1.7115399,-0.8015258,-2.417243,5.0972643,-2.721794,3.8546414,4.829938,2.6119785,4.5224547,-2.7216387
3,8.8496275,-5.2200212,-2.2921214,8.905872,3.9386437,7.935881,-6.198163,-6.007625,-12.700765,9.651528,-4.5434413,-10.842611,-1.3670996,0.7989902,-6.5405617,2.833483,-7.5184045,12.406255,0.8967265,9.554159,12.046961,13.212721,-4.5333033,-5.5864687,-7.955163,14.895615,-8.542774,14.347967,13.365916,3.8824246,12.756342,-5.6277246
4,845.89905,-496.85962,-279.92938,818.97485,417.48447,751.90466,-593.8152,-538.6804,-1234.4177,946.1566,-421.62506,-996.7873,-120.91194,54.063038,-585.2253,235.71538,-716.5233,1186.948,78.83129,940.22766,1180.047,1235.5988,-439.50787,-537.88513,-793.3046,1395.6371,-746.6021,1352.2668,1265.215,310.89066,1198.7922,-502.17194
5,2.9676254,-1.9553282,-0.08536773,3.201688,1.0876737,2.5126119,-1.7866256,-1.8380286,-4.00846,2.8728566,-1.195995,-3.7360992,-0.576167,0.5789229,-2.305202,1.264824,-2.2360322,3.892263,0.37962854,2.6691527,3.7051768,4.516692,-1.4424855,-1.5792018,-2.2067287,4.8744884,-3.1115983,4.3936033,4.405579,1.8838583,4.2384076,-2.1863525
6,2.9796615,-1.9620931,-0.08996425,3.2107358,1.0972388,2.520582,-1.7961754,-1.8429989,-4.026454,2.8863492,-1.1971419,-3.7448502,-0.5744464,0.58359414,-2.314214,1.2653615,-2.2451735,3.9058692,0.38408148,2.6834514,3.7233758,4.5314445,-1.4474256,-1.5832332,-2.2182317,4.8897104,-3.1153197,4.4087567,4.4203157,1.8902729,4.2521925,-2.1906214
7,2.9040654,-1.9293257,-0.051828247,3.1476846,1.0538895,2.4521656,-1.7227604,-1.7772703,-3.9075859,2.7893271,-1.1531675,-3.6656356,-0.5808974,0.5727814,-2.2504447,1.2608926,-2.1652472,3.79981,0.3634731,2.574767,3.606186,4.4214196,-1.4108237,-1.5274922,-2.13419,4.764943,-3.0596867,4.272031,4.31108,1.8604467,4.145559,-2.160955
8,37.45748,-22.029081,-11.862944,36.289577,18.51221,32.800785,-26.25151,-23.43145,-54.261353,41.500603,-17.91828,-43.175808,-5.4481215,3.080933,-25.891098,10.519617,-30.954782,51.737755,3.6741014,41.02294,51.898914,54.326286,-19.4668,-22.862547,-34.739086,61.18229,-32.336464,58.700844,55.358368,14.250781,52.603992,-22.28688
9,9.222122,-5.372157,-2.4808948,9.102266,4.3416123,8.088186,-6.637159,-6.113475,-13.261594,10.088121,-4.448519,-10.8773775,-1.2429714,1.1182266,-6.86843,2.7115016,-7.738439,12.668147,1.2066932,10.129714,12.681963,13.63277,-4.5969534,-5.562604,-8.424374,15.245587,-8.43783,14.771917,13.690122,4.1549006,13.089839,-5.7404947
10,4.600636,-2.7006369,-0.86448115,4.8635297,1.698015,4.333747,-3.299951,-3.5738978,-6.5668435,4.9726143,-2.6814198,-6.1631365,-0.7480232,0.4154459,-3.73601,1.6772699,-4.1752267,6.6346617,0.526368,5.0071955,6.1793075,7.231101,-2.3093162,-3.1533935,-4.0505843,8.173057,-5.1735334,7.9719496,7.2233086,2.3987021,6.9478965,-3.197871
11,295.92682,-173.88872,-97.653175,286.86353,145.46854,263.37692,-207.75452,-189.10805,-431.8687,330.89267,-148.16489,-349.65503,-42.44967,18.789818,-205.17978,82.87041,-251.07141,415.66486,27.469448,328.9201,412.6021,432.84296,-153.73633,-188.63591,-277.2672,488.98233,-262.3458,473.98868,443.18524,109.072266,419.92984,-176.11871
12,30637.004,-17997.959,-10143.386,29661.26,15130.264,27236.396,-21501.178,-19497.629,-44711.6,34273.24,-15264.6,-36104.664,-4380.204,1941.832,-21182.094,8531.923,-25953.691,42994.246,2850.179,34055.08,42747.04,44750.277,-15923.198,-19487.754,-28739.66,50546.07,-27036.078,48967.145,45825.727,11249.78,43415.645,-18182.637
13,2.6650593,-1.7954328,0.01343552,2.9597316,0.8836417,2.2950692,-1.5425403,-1.6674645,-3.5554833,2.5225868,-1.1228297,-3.4666798,-0.6134289,0.486962,-2.0819862,1.2376522,-1.9864795,3.5254047,0.27997854,2.303164,3.2605186,4.1207275,-1.3151546,-1.4223505,-1.9166219,4.4667315,-2.9556193,3.9708858,4.027341,1.7335694,3.863713,-2.0722384
14,2.7473109,-1.8336232,-0.008820033,3.0466137,0.92273724,2.3731432,-1.6157401,-1.7419542,-3.6704488,2.613688,-1.1730797,-3.5732949,-0.6189118,0.50056875,-2.1597257,1.2646707,-2.0704508,3.6480198,0.298514,2.4093168,3.3801944,4.2394423,-1.3467734,-1.4849342,-1.9950886,4.614772,-3.0460894,4.131291,4.158863,1.7831602,3.9945576,-2.1290774
15,54.107025,-31.651651,-17.866179,52.583485,26.244211,48.327415,-38.38314,-35.325752,-79.04701,60.528206,-27.656876,-64.288284,-7.6784782,3.594925,-38.07281,15.26396,-46.281036,76.21615,5.128108,60.441185,75.37199,79.459755,-28.04421,-34.747093,-50.63752,89.92059,-48.528072,87.5169,81.305374,20.20423,77.150604,-32.357334
16,2.801531,-1.8668743,-0.027012616,3.1642356,0.86060965,2.5218308,-1.6528957,-1.881218,-3.7638047,2.6877131,-1.3593099,-3.8338623,-0.6935358,0.38747364,-2.2300272,1.334388,-2.2085528,3.8482337,0.24399424,2.4932728,3.450055,4.4371614,-1.3982852,-1.6310761,-2.0706825,4.8792443,-3.331353,4.4146166,4.3715153,1.7764952,4.1681113,-2.2427468
17,3.2710128,-2.090795,-0.23703317,3.6295009,1.0653417,3.0116107,-2.072953,-2.3332593,-4.489053,3.2752926,-1.7273312,-4.484881,-0.7273417,0.37750626,-2.6334734,1.4477904,-2.7334304,4.601285,0.30190077,3.143013,4.1575036,5.178114,-1.635251,-2.0450635,-2.5796256,5.772497,-3.8609512,5.377513,5.147942,1.9442046,4.917524,-2.517735
18,21.666275,-12.595217,-6.902762,21.143068,10.42151,19.26091,-15.507405,-14.284262,-31.516613,24.126282,-10.9868145,-25.599598,-3.0566404,1.7543535,-15.492842,6.17561,-18.417723,30.322437,2.207184,24.124462,30.072271,31.816935,-11.166166,-13.666372,-20.165844,35.977016,-19.468079,34.977715,32.425934,8.431275,30.856647,-13.055324
19,2.5297437,-1.7730854,0.116621956,2.8318696,0.85053426,2.1230524,-1.3610796,-1.4378308,-3.3230145,2.306534,-0.9376044,-3.265326,-0.624611,0.5109501,-1.9532883,1.2257652,-1.7841793,3.2767506,0.26276866,2.0467474,3.0409188,3.8843303,-1.238183,-1.2255657,-1.7333978,4.171144,-2.7750416,3.6090512,3.794722,1.7193463,3.604196,-2.0149932
20,21.77143,-12.622074,-7.0234823,21.281063,10.3856125,19.48486,-15.650541,-14.574549,-31.748196,24.320995,-11.284268,-25.965582,-3.0534344,1.6544682,-15.658691,6.2288227,-18.698986,30.654776,2.1794434,24.379202,30.256664,32.108883,-11.23303,-13.942734,-20.311039,36.362293,-19.810455,35.48437,32.748528,8.419064,31.162165,-13.141978
21,2.7276163,-1.7899492,-0.028328758,3.072207,0.8267625,2.4509196,-1.6521868,-1.8831303,-3.6692917,2.6392212,-1.3334723,-3.6954148,-0.64905965,0.40488786,-2.1859508,1.2784462,-2.1593292,3.7261162,0.25972167,2.4607718,3.3637986,4.316182,-1.36515,-1.6066854,-2.023435,4.738736,-3.2153583,4.3018403,4.2286496,1.7400398,4.066821,-2.1556044
22,40.36685,-23.65409,-13.09688,39.44995,19.296019,36.260635,-28.584595,-26.663837,-58.960655,45.11615,-20.93595,-48.539967,-5.8100476,2.5760443,-28.619045,11.614192,-34.753056,57.1121,3.7735152,45.069717,56.148132,59.592274,-20.901136,-26.201044,-37.66901,67.46269,-36.887943,65.74389,60.969868,15.281454,57.85195,-24.38342
23,7.513714,-4.417414,-1.9981582,7.6758757,3.1245825,6.955851,-5.372229,-5.5043254,-10.894354,8.25959,-4.2886286,-9.704123,-1.1678709,0.5645587,-5.802586,2.50458,-6.7179236,10.839927,0.73678654,8.328913,10.247638,11.521151,-3.817606,-5.1033416,-6.7694826,13.069052,-7.790784,12.851268,11.693189,3.343254,11.156183,-4.9240522
24,2.5652697,-1.7894646,0.096140824,2.861821,0.87593967,2.1560454,-1.3969097,-1.4672366,-3.3783298,2.3485055,-0.9523913,-3.295341,-0.620386,0.5229,-1.9868019,1.2337615,-1.8167689,3.3288417,0.27321184,2.0908077,3.10035,3.9263763,-1.256501,-1.236459,-1.7685411,4.230832,-2.796595,3.6716385,3.850922,1.7344606,3.6553218,-2.0346472
25,24.992315,-14.434103,-8.376104,24.530296,11.655661,22.812084,-18.147717,-17.420033,-36.74476,28.16341,-13.800626,-30.746664,-3.4451556,1.4896744,-18.288313,7.2193403,-22.190037,35.89112,2.3896482,28.499151,34.881725,37.33696,-12.862048,-16.83099,-23.484592,42.479164,-23.633492,42.007233,38.242043,9.497249,36.337715,-15.188681
