dataset,best_node.mean,best_node.sd,elite_nn.mean,elite_nn.sd,linear_discr.mean,linear_discr.sd,naive_bayes.mean,naive_bayes.sd,one_nn.mean,one_nn.sd,random_node.mean,random_node.sd,worst_node.mean,worst_node.sd
1,0.8025166369275645,0.0059340779642327,0.7724700340332794,0.0956179678214351,0.8338156038457919,0.0056182435719497,0.8069809684187824,0.0054801771494844,0.8962910850331317,0.0037573582879603,0.5637262385054338,0.0053184053186195,0.5009810594052709,0.0061233817514465
2,0.7395172856929767,0.0339486607090458,0.6897215242160338,0.026758803656031,0.7701639645221621,0.0386564751186333,0.7347331704014779,0.0497744775862773,0.7220468601195599,0.025596889918539,0.7012225626197608,0.0425137398022918,0.5997114270306242,0.0247034556877996
3,0.7586181818181819,0.0927293800513168,0.6907636363636362,0.09889292797232,0.8749818181818183,0.0320155150634035,0.727709090909091,0.0331673221414526,0.6702545454545453,0.0343168619720779,0.5763636363636364,0.0003833063830507,0.5762181818181817,0.0003513061029379
4,1.0,0.0,1.0,0.0,0.8,0.1333333333333333,0.92,0.2529822128134703,0.6199999999999999,0.2573367875415838,0.8,0.0,0.76,0.1264911064067351
5,0.871586879432624,0.0062618823887939,0.2051861702127659,0.2472054725948208,0.9454343971631208,0.0296404153231497,0.7873670212765959,0.0528501698488926,0.8758421985815602,0.0784766302405791,0.871586879432624,0.0062618823887939,0.871586879432624,0.0062618823887939
6,0.865336879432624,0.0096477907768862,0.3716755319148936,0.2687094329890985,0.949290780141844,0.0415303211570414,0.7369237588652482,0.0215662841496833,0.9049645390070922,0.0506558418441522,0.865336879432624,0.0096477907768862,0.865336879432624,0.0096477907768862
7,0.8777777777777779,0.011712139482105,0.42,0.363257627934226,0.9222222222222224,0.0282065670587552,0.5799999999999998,0.0821187203076479,0.8777777777777779,0.1022383240136464,0.8777777777777779,0.011712139482105,0.8777777777777779,0.011712139482105
8,0.7194444444444444,0.1553239015840517,0.5791666666666667,0.104766789809145,0.7194444444444444,0.1661256651619923,0.7194444444444444,0.1553239015840517,0.6291666666666667,0.1472848108281566,0.8041666666666666,0.13441083397855,0.7708333333333333,0.1583915314310741
9,0.7810224089635854,0.1605049383513896,0.6679691876750701,0.1730929389430903,0.9928711484593836,0.0100316901517055,0.9774229691876752,0.0259681139051394,0.9821428571428572,0.0258698508142962,0.7098879551820729,0.0691325631579335,0.6230672268907563,0.0056143077327291
10,0.8200000000000001,0.1751190071541826,0.76,0.1264911064067351,0.86,0.1646545204697129,0.72,0.1932183566158591,0.8600000000000001,0.1646545204697129,0.4,0.0,0.62,0.1751190071541826
11,0.8385885885885885,0.038682893326456,0.8436186186186185,0.0494217951429981,0.8256006006006007,0.1910762019975922,0.5677927927927928,0.221884649339307,0.8436186186186185,0.0494217951429981,0.8548798798798798,0.0118548379925867,0.8548798798798798,0.0118548379925867
12,,,,,,,,,,,0.5799999999999998,0.0740370277731452,,
13,0.7333333333333333,0.052704627669473,0.7000000000000001,0.1372121003914274,0.7916666666666666,0.0900102874778869,0.5666666666666667,0.1165343164633501,0.675,0.2435906807599306,0.6499999999999999,0.0351364184463153,0.6166666666666666,0.1054092553389459
14,0.493956043956044,0.0640999476179774,0.5912087912087912,0.0610305219037612,0.7725274725274726,0.1056317788193223,0.5087912087912088,0.1937794718341699,0.6450549450549451,0.2143592748101921,0.5236263736263735,0.0355188604603615,0.5302197802197801,0.0862654860885032
15,,,,,,,,,,,0.7718931475029036,0.0112632421500383,,
16,,,,,,,,,,,0.7166666666666667,0.0442123569863456,,
17,,,,,,,,,,,0.5790640394088669,0.025337420851868,,
18,0.9137362637362638,0.0736732852208009,0.7637362637362637,0.1959792542035961,0.9351648351648352,0.0228461042190661,0.2362637362637362,0.3120333061997885,0.7280219780219781,0.2577314210210493,0.9351648351648352,0.0228461042190661,0.9351648351648352,0.0228461042190661
19,0.7300000000000001,0.2668749186833079,0.73,0.2213594362117865,0.82,0.1549193338482966,0.8800000000000001,0.1619327706865482,0.79,0.2601281735350223,0.8099999999999999,0.0316227766016837,0.8099999999999999,0.0316227766016837
20,0.99,0.0316227766016837,0.99,0.0316227766016837,0.79,0.1197218999737864,0.8700000000000001,0.105934990547138,0.99,0.0316227766016837,0.7699999999999999,0.0948683298050513,0.74,0.0516397779494322
21,0.6416666666666667,0.1926504542711077,0.6,0.2629368792488718,0.7083333333333334,0.105774626470332,0.4416666666666666,0.2358658857261531,0.5333333333333333,0.3583225665910466,0.7083333333333334,0.105774626470332,0.7083333333333334,0.105774626470332
22,0.7844444444444444,0.0980187826685778,0.7133333333333333,0.1184953681093674,0.721111111111111,0.1465141369228381,0.5022222222222222,0.1216935817796685,0.718888888888889,0.1331325648945101,0.7533333333333333,0.0467899605847519,0.7533333333333333,0.0467899605847519
23,0.85,0.1129781410568121,0.7611111111111111,0.1001028277906635,0.8400000000000001,0.1198078021875894,0.4911111111111111,0.1872331205385729,0.7711111111111111,0.1090173090043569,0.7933333333333333,0.0348226941438315,0.7933333333333333,0.0348226941438315
24,0.8055379746835444,0.0059015192956537,0.8055379746835444,0.0059015192956537,0.8055379746835444,0.0059015192956537,0.5309810126582278,0.1337409190143006,0.7666613924050633,0.0193310214178667,0.8055379746835444,0.0059015192956537,0.8055379746835444,0.0059015192956537
25,,,,,,,,,,,0.9126126126126126,0.0109722678116787,,
