dataset,LogisticRegression()-HO,LogisticRegression()+HO,Perceptron()-HO,Perceptron()+HO,PassiveAggressiveClassifier()-HO,PassiveAggressiveClassifier()+HO,RidgeClassifier()-HO,RidgeClassifier()+HO,LinearDiscriminantAnalysis()-HO,LinearDiscriminantAnalysis()+HO,QuadraticDiscriminantAnalysis()-HO,QuadraticDiscriminantAnalysis()+HO,LinearSVC()-HO,LinearSVC()+HO,KNeighborsClassifier()-HO,KNeighborsClassifier()+HO,NearestCentroid()-HO,NearestCentroid()+HO,GaussianNB()-HO,GaussianNB()+HO,MultinomialNB()-HO,MultinomialNB()+HO,ComplementNB()-HO,ComplementNB()+HO,BernoulliNB()-HO,BernoulliNB()+HO,DecisionTreeClassifier()-HO,DecisionTreeClassifier()+HO,RandomForestClassifier()-HO,RandomForestClassifier()+HO,MLPWrapper()-HO,MLPWrapper()+HO
1.arff,0.833889325,0.83428179,0.645898744,0.723508634,0.796408948,0.833006279,0.829277865,0.829375981,0.829277865,0.829277865,0.892857143,0.892857143,0.835459184,0.835262951,0.917091837,0.925627943,0.804062009,0.804062009,0.804062009,0.804258242,0.797782575,0.797782575,0.797586342,0.797586342,0.807103611,0.807103611,0.907868917,0.805631868,0.921605181,0.805631868,0.932299843,0.928669545
2.arff,0.753110048,0.775119617,0.666028708,0.748325359,0.641148325,0.770334928,0.764593301,0.766507177,0.774162679,0.774162679,0.751196172,0.751196172,0.774162679,0.776076555,0.767464115,0.775119617,0.728229665,0.722488038,0.728229665,0.728229665,0.652631579,0.652631579,0.654545455,0.654545455,0.604784689,0.604784689,0.733971292,0.747368421,0.785645933,0.744497608,0.779904306,0.783732057
3.arff,0.87609075,0.875799884,0.863583479,0.805700989,0.865328679,0.874927283,0.870564282,0.872309482,0.871727749,0.871146015,0.597440372,0.737929029,0.874636417,0.87521815,0.860383944,0.869109948,0.776323444,0.776905177,0.672774869,0.719022688,0.725712624,0.725712624,0.740255963,0.740255963,0.5840605,0.5840605,0.831297266,0.764107039,0.874636417,0.776323444,0.87609075,0.881908086
4.arff,0.692307692,1,0.615384615,0.692307692,0.615384615,1,0.615384615,0.615384615,0.692307692,0.692307692,0.384615385,0.692307692,0.692307692,1,0.615384615,0.692307692,0.846153846,1,1,0.846153846,0.615384615,0.615384615,0.538461538,0.538461538,0.615384615,0.615384615,1,1,1,1,0.692307692,1
5.arff,0.890756303,0.890756303,0.731092437,0.899159664,0.74789916,0.630252101,0.890756303,0.890756303,0.890756303,0.890756303,0.890756303,0.890756303,0.890756303,0.899159664,0.957983193,0.966386555,0.554621849,0.705882353,0.890756303,0.890756303,0.890756303,0.890756303,0.579831933,0.579831933,0.890756303,0.890756303,0.941176471,0.890756303,0.957983193,0.890756303,0.907563025,0.966386555
6.arff,0.882352941,0.882352941,0.890756303,0.68907563,0.117647059,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.882352941,0.974789916,0.974789916,0.537815126,0.613445378,0.882352941,0.882352941,0.882352941,0.882352941,0.495798319,0.495798319,0.907563025,0.907563025,0.941176471,0.882352941,0.949579832,0.882352941,0.907563025,0.974789916
7.arff,0.920353982,0.920353982,0.920353982,0.920353982,0.646017699,0.920353982,0.920353982,0.920353982,0.920353982,0.920353982,0.920353982,0.920353982,0.920353982,0.911504425,0.938053097,0.946902655,0.530973451,0.637168142,0.920353982,0.920353982,0.920353982,0.920353982,0.460176991,0.460176991,0.920353982,0.920353982,0.884955752,0.920353982,0.911504425,0.920353982,0.920353982,0.946902655
8.arff,0.80952381,0.80952381,0.761904762,0.476190476,0.761904762,0.761904762,0.80952381,0.857142857,0.80952381,0.80952381,0.666666667,0.80952381,0.761904762,0.80952381,0.761904762,0.761904762,0.761904762,0.761904762,0.761904762,0.80952381,0.714285714,0.666666667,0.857142857,0.857142857,0.80952381,0.80952381,0.80952381,0.80952381,0.80952381,0.857142857,0.761904762,0.666666667
9.arff,0.995260664,1,0.995260664,1,1,1,1,1,1,1,0.981042654,0.995260664,1,1,1,1,0.995260664,0.990521327,0.995260664,0.995260664,1,1,0.990521327,0.990521327,0.91943128,0.924170616,0.957345972,0.91943128,0.995260664,0.981042654,1,1
10.arff,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.846153846,0.923076923,0.923076923,0.923076923,0.923076923,1,0.769230769,0.923076923,0.923076923,0.615384615,0.923076923,0.923076923,0.923076923,0.923076923,0.923076923,0.692307692,0.769230769,0.538461538,0.538461538,0.461538462,0.461538462,0.769230769,0.923076923,1,1,0.923076923,0.923076923
