dataset,c1,c2,cls_coef,density,f1.mean,f1.sd,f1v.mean,f1v.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,hubs.mean,hubs.sd,l1.mean,l1.sd,l2.mean,l2.sd,l3.mean,l3.sd,lsc,n1,n2.mean,n2.sd,n3.mean,n3.sd,n4.mean,n4.sd,t1.mean,t1.sd,t2,t3,t4
2,0.9999906975135884,2.5791580871459278e-05,0.9976279883555084,0.8694214210826117,0.7845144994535678,0.0979556150408349,0.2844149426819107,,0.0331065817608517,,0.928417524539143,,0.915728992099593,,0.9921684657666414,0.0133460101183972,0.1294848429400054,,0.206128800574575,,0.2583193679674407,,0.9961288057329576,0.4089059133349293,0.4267505627758793,0.1258534740479081,0.2777112760354321,0.4479238290790348,0.2724443380416567,0.4452705770737761,0.0181818181818181,0.0749612465897268,0.0023940627244433,0.000718218817333,0.3
4,0.7219280948873623,0.5294117647058824,1.0,1.0,0.8941121108315423,0.2717043174333653,0.3800433479766431,,0.0,,0.0,,0.0,,0.98,0.1414213562373095,0.0,,0.0,,0.0,,0.8992,0.36,0.4953260869713355,0.0112722503420251,0.26,0.4430874976934521,0.0,0.0,0.02,0.0,0.26,0.02,0.0769230769230769
5,0.5530919600687172,0.7115756893962322,0.8215898604540623,0.9809993337774816,0.9629912813091716,0.0308060355004468,0.1882107650658716,,0.0,,0.8,,0.8,,0.9714815981095482,0.0359817950326269,0.0794570793266974,,0.0652631578947368,,0.0673684210526316,,0.9467656509695292,0.1326315789473684,0.1390519212589917,0.1997014145605179,0.0989473684210526,0.2989061411050592,0.071578947368421,0.2580612387232516,0.0081967213114754,0.0271187560037206,0.0231578947368421,0.0042105263157894,0.1818181818181818
6,0.5702873371274225,0.6959373934353272,0.8199411699636394,0.9809193870752831,0.9570293491484184,0.0318948639238079,0.1613572987960326,,0.0,,0.8,,0.64,,0.9728300469380587,0.0370127126079749,0.059405963771145,,0.0505263157894736,,0.04,,0.9321396121883656,0.1263157894736842,0.1327696221736573,0.1924261589029669,0.0778947368421052,0.2682884285231358,0.0757894736842105,0.2649400017557053,0.010204081632653,0.0733154727063537,0.0231578947368421,0.0042105263157894,0.1818181818181818
7,0.5357150195407703,0.7268154668343287,0.7973142536818967,0.983192279138827,0.9658110668078356,0.0283391703099693,0.1997811145438905,,0.0,,0.8,,0.64,,0.9908782993582896,0.0463009800853363,0.0835040161455429,,0.0733333333333333,,0.0622222222222221,,0.9407555555555556,0.1466666666666666,0.1564788030895121,0.2086265703581746,0.0888888888888888,0.2849000310914548,0.1022222222222222,0.3032774857421495,0.0125,0.0854089378800143,0.0244444444444444,0.0044444444444444,0.1818181818181818
8,0.9948631079048572,0.014125108100317,0.8845639950803198,0.8527769615045548,0.7055082265945041,0.1379361136227297,0.2086737861855657,,0.8444444444444444,,0.9518072289156626,,0.9518072289156626,,0.937192772379951,0.0905663702977612,0.1616161616161576,,0.1927710843373493,,0.1807228915662651,,0.9399041950936275,0.4578313253012048,,,0.2289156626506024,0.4226888726289972,0.253012048192771,0.4373806037491805,0.0555555555555555,0.0643049962701227,0.0602409638554216,0.0120481927710843,0.2
9,0.955846502312438,0.1142441976724034,1.0,1.0,0.8983504892672848,0.1290847639879691,0.024295547530637,,3.8576587480137373e-13,,0.7752675386444708,,0.0,,0.9988109393579072,0.0344827586206896,0.0,,0.0,,0.0,,0.9261750280298778,0.0118906064209274,0.436245448934695,0.0260001319451542,0.0035671819262782,0.0596547452930408,0.0011890606420927,0.0344827586206896,0.0048780487804878,0.0516537331588187,0.0832342449464922,0.0392390011890606,0.4714285714285714
10,1.0,0.0,1.0,1.0,0.9659139774925266,0.0644068015838461,0.1871833888625271,,0.0,,0.38,,0.0,,0.98,0.1414213562373095,0.0,,0.0,,0.0,,0.8744000000000001,0.24,0.4956121875933543,0.007209235579211,0.14,0.3505098327538656,0.0,0.0,0.02,0.0,1.1,0.06,0.0545454545454545
11,0.5977108006800617,0.6697852286002416,1.0,1.0,0.991270521239726,0.0534688038855508,0.1172032839195611,,0.3310961968680089,,0.2684931506849315,,0.1890410958904109,,0.9972602739726028,0.0523423922590213,0.0399811936535456,,0.0465753424657534,,0.0547945205479452,,0.9411296678551324,0.1534246575342465,0.494668970335353,0.0052326712382629,0.0958904109589041,0.294845068350947,0.073972602739726,0.2620855688533312,0.0051020408163265,0.0330724070450097,0.1205479452054794,0.0027397260273972,0.0227272727272727
12,0.9819407868640976,0.0486486486486487,200000001.0,1.0178571428571428,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,1.6666666666666667,,
13,0.9340680553754912,0.1651376146788991,1.0,1.0,0.9666820539836412,0.0405671822160783,0.1236394174770778,,0.0,,0.9166666666666666,,0.525,,0.9916666666666668,0.0912870929175276,0.0769216291748057,,0.0833333333333333,,0.0916666666666666,,0.9916666666666668,0.3583333333333333,0.5,0.0,0.2166666666666666,0.4137009298802136,0.0666666666666666,0.2504897164340598,0.0083333333333333,0.0,0.2,0.1583333333333333,0.7916666666666666
14,0.9958560657511164,0.0114129194247888,1.0,1.0,0.9754086466139112,0.0294547357422659,0.1774758483746478,,0.0,,0.9166666666666666,,0.9166666666666666,,0.9924242424242424,0.0870388279778489,0.1426503860599526,,0.1666666666666666,,0.1893939393939394,,0.9924242424242424,0.4469696969696969,0.5,0.0,0.3409090909090909,0.4758206322924614,0.0984848484848484,0.2991042220473354,0.0075757575757575,0.0,0.1893939393939394,0.1515151515151515,0.8
15,0.7747817605858327,0.4563113859585304,200000001.0,1.002433090024331,,,,,,,0.0,,0.0,,,,,,,,,,1.0,0.0,,,,,,,1.0,,0.058252427184466,,
