dataset,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,attr_to_inst,best_node.mean,best_node.sd,can_cor.mean,can_cor.sd,cat_to_num,class_conc.mean,class_conc.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,elite_nn.mean,elite_nn.sd,eq_num_attr,freq_class.mean,freq_class.sd,g_mean.mean,g_mean.sd,gravity,h_mean.mean,h_mean.sd,inst_to_attr,iq_range.mean,iq_range.sd,joint_ent.mean,joint_ent.sd,kurtosis.mean,kurtosis.sd,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,lh_trace,linear_discr.mean,linear_discr.sd,mad.mean,mad.sd,max.mean,max.sd,mean.mean,mean.sd,median.mean,median.sd,min.mean,min.sd,mut_inf.mean,mut_inf.sd,naive_bayes.mean,naive_bayes.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,ns_ratio,num_to_cat,one_nn.mean,one_nn.sd,p_trace,random_node.mean,random_node.sd,range.mean,range.sd,roy_root,sd.mean,sd.sd,sd_ratio,skewness.mean,skewness.sd,sparsity.mean,sparsity.sd,t_mean.mean,t_mean.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var.mean,var.sd,var_importance.mean,var_importance.sd,w_lambda,worst_node.mean,worst_node.sd
1,5.624947842749776e-05,6.042161598763432e-05,1.526439183722315,0.1849884826319308,0.0002452904238618,0.8025166369275645,0.0059340779642327,0.7161331909126659,,0.0,0.0445860516561268,0.1133853816343856,0.9999977500599352,0.0040759599372899,0.0025887570048642,0.002810324856649,0.0017371010527994,0.7001563372508756,0.1058699505318077,0.7116655209108854,0.1467727785561439,25.04968516421225,0.5,0.0012488149589244,,,1.3618937017969652,,,4076.8,2.0,0.0,2.486516362186061,0.2708279448485647,-1.5503368772438155,0.1579766418123921,4302.0,14.195025569502556,1.9210996683253927,0.000232450023245,0.0030994798890232,10091503.659916554,10884541.8602584,0.5,0.1209741029645046,1.052742117807841,0.8338156038457919,0.0056182435719497,1.33434,0.4688392858965639,1.0,0.0,0.0020064756671899,0.0039153317252065,0.1,0.3162277660168379,-1.0,0.0,0.0399205715961892,0.0866526706142586,0.8069809684187824,0.0054801771494844,4301.0,430.1,0.1054994113029827,238.94444444444449,278.76460071963777,430.1,231.2696598249661,10.0,1.0,0.0,2.0,0.0,1.0,40768.0,0.0,10.0,0.0,37.23690700531016,,0.8960458608007821,0.0037623519233796,0.5128467471267568,0.5042432620052218,0.0064369325286875,2.0,0.0,1.052742117807841,0.8349423976267195,0.0579993285039733,,-0.0038206586683283,0.0074233580431151,0.3499840557313513,0.0527059204952308,0.0033439620636088,0.0065252327599223,13.19679181680809,2.379918491619975,0.0624651194446328,0.040360982605935,0.0020360800345406,0.0088981429190705,0.7001563372508756,0.1053563596891382,0.1,0.1117321807352099,0.4871532528732432,0.5008584202097841,0.0061763693849246
2,0.1736161455180117,0.1204636203001367,3.0655042918917124,1.483123835552066,0.0023940627244433,0.7395172856929767,0.0339486607090458,0.6214788661381924,,0.0,0.0417216905096453,0.0525070917868346,0.9999906975135884,0.6180890260384997,0.2793839152809648,0.0330949942296221,0.0333852445120931,0.1012370412328661,0.183460486844238,0.6964212362167683,0.0449785667669669,5.249583361178158,0.5,0.0025392869805597,0.2146112485379648,0.2347682558382987,0.7874667500865636,0.1561491191900997,0.1842138399497324,417.7,0.4730999999999999,0.4054515178579719,3.875005453624473,1.4010125526967276,7.262806104551084,24.129134262829595,707.0,12.756718528995757,3.631026900961497,0.0014144271570014,0.0036838173385254,20339249.58990726,205165219.06193116,0.5,0.0030004531026303,0.6292906868688787,0.7701639645221621,0.0386564751186333,0.1280966399999999,0.1601660952600642,1.16735,0.6255472293209451,0.3678923868805362,0.1965013941385652,0.26505,0.2647489848894609,0.0135,0.0275580196030927,0.1904895357808284,0.0927797557168214,0.7347331704014779,0.0497744775862773,706.0,70.6,0.1690208283457026,26.14814814814815,27.24067053238835,70.6,48.26132567134429,10.0,3.0,0.0,2.0,0.6666666666666667,1.0,4177.0,0.0,10.0,7.0,15.09277002710947,,0.7220468601195599,0.025596889918539,0.3862359810564132,0.7060026619852443,0.0564332209702622,1.1538499999999998,0.63526027255676,0.6292906868688787,0.2634800056984691,0.1880169254496956,,0.6468332982566813,1.024701009900814,0.1537341560505677,0.238934002569151,0.3300370961308336,0.2048041926613393,11.766454352441611,3.879645614812493,0.0378954969014844,0.0576534090148652,0.0100246603578286,0.023395469984551,0.101237041232866,0.1086595671112309,0.1,0.1209990464951885,0.6137640189435868,0.6004291303799065,0.0207285678339536
3,0.2077970755484585,0.3025065923902216,2.6002487467896698,1.76742215093323,0.0029090909090909,0.7586181818181819,0.0927293800513168,0.7565209728649201,,0.0,0.0229504109762743,0.078430532586891,0.9832048570341376,0.2253984120880754,0.3502777289799359,0.8571529501982911,10.157901294729196,1712.5614829092592,10703.647665366329,0.7153454545454545,0.0900704427924617,10.686003923231093,0.5,0.1076859345312458,,,35.321794466016016,,,343.75,9.8018,53.18673893291398,3.4914449480065777,1.7162297272673797,916.396077672967,2080.582681320197,1346.0,12.534175334323924,2.856015361165397,0.00074294205052,0.0038616675037439,8744693.742774433,84404974.00913699,0.5,0.0,1.3382185551938302,0.8749818181818183,0.0320155150634035,7.210217385,39.19543073961213,28.497475,154.69296895910938,-0.8504005054545454,3.107633455679291,-1.1077750000000002,4.186992932866235,-29.3243,154.4628781544415,0.0920086558172298,0.098312561041417,0.727709090909091,0.0331673221414526,1345.0,33.625,0.0978181818181818,53.8,62.6431693536228,40.75757575757576,42.51619566635041,40.0,0.0,0.0,2.0,0.1807692307692307,1.0,13750.0,1.0,40.0,39.0,27.26091440738925,,0.6702545454545453,0.0343168619720779,0.5723239823844852,0.5761454545454545,0.0003066451064406,57.82177500000002,309.1149020311336,1.3382185551938302,7.591278589244387,41.19912834887924,,-4.556913388971333,16.99118165719825,0.0689994077639673,0.0903158094908683,-0.9741328,3.5807015366735837,11.53920475659606,3.176389073427796,0.0449839707248416,0.064780912579479,0.0065044839970247,0.0114398855821026,1712.5614829092597,10703.453738347269,0.025,0.0666508584274798,0.4276760176155147,0.5762909090909091,0.0003755620214504
4,0.035755561512534,0.0592226257443846,0.8310509543537012,0.2489431648555526,0.26,1.0,0.0,1.0,,0.0,0.1016251951271547,0.2717879628620501,0.7219280948873623,0.1121896889591212,0.1638163975867763,256.47668759811614,715.4237989863283,21771878.571397163,78499623.95578428,1.0,0.0,8.108745469690033,0.5,0.4242640687119285,86.06028295952652,310.2947629915126,14811.225042197726,4.805457538125156,17.3263235557752,3.8461538461538463,689.3269230769231,2484.8026694467594,1.4639482493983649,0.3173100861960917,0.2828505566204048,2.046159630286583,2.0,1.0,0.0,0.5,0.4242640687119285,4.0,0.0,0.5,0.0,inf,0.8,0.1333333333333333,182.24575384615383,656.6510024831704,6334.307692307692,22835.0656279059,695.3861538461541,2506.3490486148,126.23076923076924,454.8310865669719,0.2307692307692307,0.8320502943378437,0.0890307998426986,0.1958079902991098,0.92,0.2529822128134703,1.0,0.0769230769230769,0.02,1.0,,1.0,,13.0,12.0,0.0,2.0,0.0128205128205128,1.0,50.0,0.0,13.0,11.0,8.33442085011051,,0.6199999999999999,0.2573367875415838,1.0,0.8,0.0,6334.076923076923,22834.233577611554,inf,1294.5136599961045,4665.917812724958,,1.3145367173346163,0.6549604967848561,0.4521193092621663,0.1358449460143418,221.2948717948718,797.5895664143253,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,21771878.571397163,78499623.90849973,0.0769230769230769,0.2773500981126146,0.0,0.76,0.1264911064067351
5,0.0227271707644398,0.0302029616456518,0.9095814510679888,0.622375773102057,0.0231578947368421,0.871586879432624,0.0062618823887939,0.5714318947962496,,0.0,0.0367614874402714,0.0311042594740346,0.5530919600687172,0.0909090909090911,0.1213698468757368,0.0145761411584196,0.0194601442248016,2.8787878787878785,9.016436156244684,0.3447695035460992,0.3638737027968002,19.0526539923696,0.5,0.5254919868607395,0.7208133495331951,2.390667424280907,1.313475573394524,0.4868656931448489,1.614750827457771,43.18181818181818,0.9090909090909092,3.015113445777636,1.4336437567751548,0.6297703663259767,0.1044629403173002,0.4373542022877567,49.0,7.285714285714286,2.4664414311581235,0.0204081632653061,0.0412191944495267,3244.02775002775,6556.28984781375,0.5,0.0144307506364601,0.484856858952119,0.9454343971631208,0.0296404153231497,0.6739090909090909,2.235103597354962,2.636363636363636,5.427204202399745,1.0909090909090908,2.9548111768620835,0.9090909090909092,3.015113445777636,0.0909090909090909,0.3015113445777636,0.0290296543615511,0.0177416003196002,0.7873670212765959,0.0528501698488926,48.0,4.363636363636363,0.1010526315789473,3.692307692307693,2.562050460881394,4.8,9.647106647418523,11.0,10.0,0.0,2.0,0.0,1.0,475.0,0.0,11.0,10.0,30.332837785099503,,0.8737145390070922,0.0756135892940707,0.326534410390432,0.871586879432624,0.0062618823887939,2.5454545454545454,5.125692857821981,0.484856858952119,0.8624743073890592,1.5324550703592603,,1.3593324107681666,0.4508395571887271,0.4581894898350594,0.1351712251535332,0.9090909090909092,3.015113445777636,6.371134020618556,2.7169206973339093,0.0739482048476729,0.0781914605447657,0.0864307637117346,0.0991788578661815,2.8787878787878785,9.016079742711437,0.0909090909090909,0.1160971933732769,0.673465589609568,0.871586879432624,0.0062618823887939
6,0.0227271707644398,0.0302029616456518,0.9095814510679888,0.622375773102057,0.0231578947368421,0.865336879432624,0.0096477907768862,0.6149990603913461,,0.0,0.0430180317838996,0.0318255146912063,0.5702873371274225,0.0909090909090911,0.1213698468757368,0.0145761411584196,0.0194601442248016,2.8787878787878785,9.016436156244684,0.725354609929078,0.2362552337396488,16.610842884628884,0.5,0.5165601117299621,0.7208133495331951,2.390667424280907,0.868216742979264,0.4868656931448489,1.614750827457771,43.18181818181818,0.9090909090909092,3.015113445777636,1.4455365546604624,0.6325560145047534,0.1044629403173002,0.4373542022877567,48.0,7.125,2.4375170484946618,0.0208333333333333,0.0529829072803754,3064.484892884893,6497.803550895441,0.5,0.0883883476483184,0.6082958325180986,0.949290780141844,0.0415303211570414,0.6739090909090909,2.235103597354962,2.636363636363636,5.427204202399745,1.0909090909090908,2.9548111768620835,0.9090909090909092,3.015113445777636,0.0909090909090909,0.3015113445777636,0.0343322335349488,0.0179848651974787,0.7369237588652482,0.0215662841496833,47.0,4.2727272727272725,0.0989473684210526,3.615384615384616,2.7549489268847784,4.7,9.967168326282268,11.0,10.0,0.0,2.0,0.0,1.0,475.0,0.0,11.0,10.0,25.493512289029216,,0.907136524822695,0.0473515703420843,0.3782238442822386,0.865336879432624,0.0096477907768862,2.5454545454545454,5.125692857821981,0.6082958325180986,0.8624743073890592,1.5324550703592603,,1.3593324107681666,0.4508395571887271,0.4581894898350594,0.1351712251535332,0.9090909090909092,3.015113445777636,6.2105263157894735,2.6931541930009946,0.0736903936943774,0.080158091459815,0.0897369384765625,0.0960969317816278,2.8787878787878785,9.016079742711437,0.0909090909090909,0.1056673149727388,0.6217761557177613,0.865336879432624,0.0096477907768862
7,0.0227271707410837,0.0302029616633881,0.9090209954395604,0.6205169520709176,0.0244444444444444,0.8777777777777779,0.011712139482105,0.5490990763137671,,0.0,0.0340340418460084,0.028529185248048,0.5357150195407703,0.0909090909090911,0.1213698468757368,0.0145778497671593,0.0194624253341938,2.5981980157926703,8.085803642132904,0.5844444444444444,0.2844000736997776,19.737834902599417,0.5,0.5342584568965025,0.6866530785551641,2.277370622709911,1.1695772521689414,0.4681868485188873,1.5528001083161098,40.90909090909091,0.8181818181818182,2.7136021011998723,1.4175944859228444,0.6275381335436724,0.1036661440688268,0.4374809215028531,55.0,7.672727272727273,3.2719602543007618,0.0181818181818181,0.0470649103942037,25014.13921242157,85671.60821594927,0.5,0.1157083823759805,0.4316593041864545,0.9222222222222224,0.0282065670587552,0.6065181818181817,2.011593237619466,2.5454545454545454,5.125692857821981,1.0454545454545452,2.804055504573202,0.8636363636363636,2.864357773488755,0.0909090909090909,0.3015113445777636,0.0271415290574863,0.016933700420818,0.5799999999999998,0.0821187203076479,54.0,4.909090909090909,0.12,3.176470588235294,3.1071549309144344,5.4,11.500724614852173,11.0,10.0,0.0,2.0,0.0,1.0,450.0,0.0,11.0,10.0,32.49188594033277,,0.8777777777777779,0.1022383240136464,0.3015097956086322,0.8777777777777779,0.011712139482105,2.4545454545454546,4.824181513244217,0.4316593041864545,0.8362139590215719,1.445281513610118,,1.3590934352794932,0.4507602979857249,0.4583923871228993,0.1343034942439927,0.8636363636363636,2.864357773488755,6.752293577981652,3.46719003341737,0.0576894190187755,0.0858235779541534,0.0819599498401988,0.0881792322926924,2.5981980157926707,8.085406112223971,0.0909090909090909,0.114143228736094,0.6984902043913677,0.8777777777777779,0.011712139482105
8,0.305850140676988,0.3628272849145599,1.1870614880338883,0.4543328977235199,0.0602409638554216,0.7194444444444444,0.1553239015840517,0.7006936972693599,,0.0,0.2868302524190894,0.1549343999345206,0.9948631079048572,0.4997175596331217,0.2773350996153225,4.598501322362621,6.009035036883623,1151.8700558330884,2575.158557353281,0.5902777777777778,0.1111593259587312,4.399974303686846,0.5,0.0596355116663353,24.553642776428816,54.903614343341495,33.83940809420586,19.09205699909938,42.69113728028686,16.6,26.3,56.57251983074468,1.9558180236637128,0.5668424240320049,-1.8039503270627344,0.295721166743864,25.0,5.52,1.7107503227141787,0.04,0.0451767066488016,306.74285714285713,254.8996690265432,0.5,0.0282842712474619,0.9645271516287056,0.7194444444444444,0.1661256651619923,19.86684,44.42360473811192,60.8,133.7168650544874,29.814457831325303,65.54916278681634,28.0,61.49390213671596,6.0,13.41640786499874,0.2261065722750329,0.1128880860036883,0.7194444444444444,0.1553239015840517,24.0,4.8,0.2891566265060241,3.0,1.1952286093343936,8.0,11.269427669584644,5.0,4.0,0.0,2.0,0.2,1.0,83.0,0.0,5.0,0.0,4.250008772809856,,0.6416666666666667,0.1521169772245857,0.4909716573930054,0.8041666666666666,0.13441083397855,54.8,120.30045718948868,0.9645271516287056,15.574704460440458,33.71384427803778,,0.0048366311326908,0.2969483199420495,0.3958962446767324,0.2191485127774184,29.88627450980392,65.7098193096748,4.653061224489796,2.0160917266682428,0.1330744897890706,0.128632303412656,0.1575,0.1207294587643863,1151.870055833088,2575.1064786098536,0.2,0.2226675934912006,0.5090283426069946,0.7833333333333333,0.1503311388340918
9,0.0174474577699955,0.0125437599202095,2.893956600653236,0.3830779801999197,0.0832342449464922,0.7810224089635854,0.1605049383513896,0.9509756634363185,,0.0,0.0218821544404432,0.0207038740260196,0.955846502312438,0.1484238902503684,0.1155462716416945,5.460666436075887,13.537410787282724,50.91796848584858,174.72117591653253,0.69890756302521,0.1693435920384422,8.425085512389197,0.5,0.1740441185560229,4.390547753420648,13.163716628685128,47.229367566815775,4.016060453824013,12.316659200292657,12.014285714285714,7.1571428571428575,6.868613163578967,3.736350663710683,0.3859540294461703,2.3253142913452103,3.630128984082674,25.0,5.52,1.851125783588643,0.0399999999999999,0.1111400083292551,353.015873015873,395.4777646081859,0.5,0.0848528137423857,9.455298170940717,0.9928711484593836,0.0100316901517055,4.998479999999997,4.579578569485074,34.4,30.42758092848362,10.12524205877357,13.369742790633518,9.2,12.729743784208472,0.8285714285714286,3.4261205871120057,0.1134524392549907,0.1155874226748271,0.9774229691876752,0.0259681139051394,24.0,0.3428571428571428,0.0285374554102259,2.6666666666666665,1.414213562373095,1.263157894736842,0.5619514869490164,70.0,0.0,0.0,2.0,0.0078674948240165,1.0,841.0,1.0,70.0,68.0,24.508103833262727,,0.9821428571428572,0.0258698508142962,0.9043547124481458,0.6230672268907563,0.0056143077327291,33.57142857142857,28.01737112732257,9.455298170940717,5.356526083946353,4.748442575873746,,1.110728918783191,0.680273120614929,0.0488234358962868,0.0284087312033846,9.431145685997173,12.958362044555528,4.653061224489796,2.136498502302339,0.1156238903942736,0.1273319918535389,0.16078125,0.1149937348801498,50.91796848584856,124.96869779446948,0.0142857142857142,0.0695984313771179,0.0956452875518542,0.6230672268907563,0.0056143077327291
10,0.0156529007940902,0.0195213094878456,0.2726169893766091,0.418639620329282,1.1,0.8200000000000001,0.1751190071541826,1.0,,0.0,0.0323247817138703,0.0514638820921975,1.0,0.0338499023042095,0.054376636223335,2.092338436995808,43.7662491721028,199.61372313882,1155.6669481808124,0.76,0.1264911064067351,23.85583055273401,0.5,0.0,,,112.60129217861756,,,0.9090909090909092,2.9086590909090906,11.782998288235635,1.2306985159120416,0.3552986358857659,39.84386371667906,10.711094543737635,6.0,2.833333333333333,0.983192080250175,0.1666666666666666,0.1769369002403587,16.666666666666668,5.8878405775518985,0.5,0.2357022603955158,4503599627370495.0,0.86,0.1646545204697129,2.19750972,8.980470297798309,6.7305090909090906,21.28662651357936,-0.2171229090909088,9.101834540667074,-0.0126272727272726,7.003037251937204,-11.981309090909091,61.71594030984718,0.0419184734645675,0.0935982083707487,0.72,0.1932183566158591,5.0,0.0909090909090909,0.1,1.25,0.5,1.25,0.5,55.0,50.0,0.0,2.0,0.0026936026936026,1.0,50.0,0.0,55.0,55.0,5.503504704364874,,0.8600000000000001,0.1646545204697129,0.9999999999999998,0.4,0.0,18.711818181818185,73.66694253570543,4503599627370495.0,3.5329671312482533,13.80569706032466,,6.053673449903545,2.050289488592271,0.4453305440914769,0.1419078636983458,0.1379939393939393,6.713422641065864,2.1818181818181817,1.2504544628399563,0.2250678929757294,0.1912918265893657,0.3958333333333333,0.1228990100312718,199.6137231388201,1109.0737596842994,0.0181818181818181,0.0920569403324017,2.2204460492503185e-16,0.6,0.1333333333333333
