dataset,leaves,leaves_branch.mean,leaves_branch.sd,leaves_corrob.mean,leaves_corrob.sd,leaves_homo.mean,leaves_homo.sd,leaves_per_class.mean,leaves_per_class.sd,nodes,nodes_per_attr,nodes_per_inst,nodes_per_level.mean,nodes_per_level.sd,nodes_repeated.mean,nodes_repeated.sd,tree_depth.mean,tree_depth.sd,tree_imbalance.mean,tree_imbalance.sd,tree_shape.mean,tree_shape.sd,var_importance.mean,var_importance.sd
1,4307.0,14.191548641745994,1.920322558793044,0.0002321801718133,0.0030976751290814,10084346.793650793,10863896.226552753,0.5,0.120669487850502,4306.0,430.6,0.1056220565149136,239.22222222222223,278.84099528870354,430.6,230.57425894684968,13.193312434691745,2.3793003162523463,0.0624575379774457,0.0404805604527997,0.0020348766106365,0.0088906979907767,0.1,0.1117400239352766
2,711.0,12.79043600562588,3.66017296690464,0.0014064697609001,0.003674599430907,20596102.94773292,205747376.23684365,0.5,0.0049726215273315,710.0,71.0,0.16997845343548,26.296296296296298,27.2930180066044,71.0,47.422451316743306,11.800140745953554,3.9069493855568935,0.0378934360630532,0.0576723565608766,0.0099676082699275,0.0233444297084963,0.0999999999999999,0.1210480907151266
3,1341.0,12.524981357196122,2.858140132727733,0.0007457121551081,0.0038677206516946,7080839.191960622,49786634.76506673,0.5,0.0026364906084509,1340.0,33.5,0.0974545454545454,55.833333333333336,62.85709580273036,40.60606060606061,42.695827806955705,11.530026109660575,3.178274718441626,0.0449800806121574,0.0648047036844223,0.0065275844933824,0.0114578119769369,0.025,0.0665397397493666
4,2.0,1.0,0.0,0.5,0.4242640687119285,4.0,0.0,0.5,0.0,1.0,0.0769230769230769,0.02,1.0,,1.0,,0.6666666666666666,0.5773502691896258,0.5,,0.5,0.0,0.0769230769230769,0.2773500981126146
5,49.0,7.285714285714286,2.4664414311581235,0.0204081632653061,0.0412191944495267,3244.0277500277502,6556.28984781375,0.5,0.0144307506364601,48.0,4.363636363636363,0.1010526315789473,3.692307692307693,2.562050460881394,4.8,9.647106647418523,6.371134020618556,2.7169206973339093,0.0739482048476729,0.0781914605447657,0.0864307637117346,0.0991788578661815,0.0909090909090909,0.1161803529518884
6,48.0,7.125,2.4375170484946618,0.0208333333333333,0.0529829072803754,3064.484892884893,6497.803550895441,0.5,0.0883883476483184,47.0,4.2727272727272725,0.0989473684210526,3.615384615384616,2.7549489268847784,4.7,9.967168326282268,6.2105263157894735,2.6931541930009946,0.0736903936943774,0.080158091459815,0.0897369384765625,0.0960969317816278,0.0909090909090909,0.1065298129293567
7,55.0,7.672727272727273,3.2719602543007618,0.0181818181818181,0.0470649103942037,25014.13921242157,85671.60821594927,0.5,0.1157083823759805,54.0,4.909090909090909,0.12,3.176470588235294,3.1071549309144344,5.4,11.500724614852173,6.752293577981652,3.46719003341737,0.0576894190187755,0.0858235779541534,0.0819599498401988,0.0881792322926924,0.0909090909090909,0.1149459491523435
8,25.0,5.52,1.710750322714179,0.0399999999999999,0.0451767066488016,306.74285714285713,254.8996690265432,0.5,0.0282842712474619,24.0,4.8,0.2891566265060241,3.0,1.1952286093343936,6.0,10.0,4.653061224489796,2.0160917266682428,0.1330744897890706,0.128632303412656,0.1575,0.1207294587643863,0.2,0.2186717846349226
9,25.0,5.52,1.851125783588643,0.04,0.1111400083292551,353.015873015873,395.4777646081859,0.5,0.0848528137423857,24.0,0.3428571428571428,0.0285374554102259,2.6666666666666665,1.414213562373095,1.5,0.6324555320336759,4.653061224489796,2.136498502302339,0.1156238903942736,0.1273319918535388,0.16078125,0.1149937348801498,0.0142857142857142,0.0683550251614351
10,6.0,2.833333333333333,0.983192080250175,0.1666666666666666,0.1769369002403587,16.666666666666668,5.8878405775518985,0.5,0.2357022603955158,5.0,0.0909090909090909,0.1,1.25,0.5,1.25,0.5,2.1818181818181817,1.2504544628399563,0.2250678929757294,0.1912918265893657,0.3958333333333333,0.1228990100312718,0.0181818181818181,0.0920569403324017
11,31.0,8.935483870967742,3.57710761995375,0.032258064516129,0.1268618585618836,6468.683716283715,9209.448373839066,0.5,0.0228098961673079,30.0,0.6818181818181818,0.0821917808219178,2.142857142857143,1.231455852429764,1.4285714285714286,1.325572652532805,8.098360655737705,3.627234566593798,0.0724799108055569,0.1151457133293081,0.0801056892641129,0.1339153379210301,0.0227272727272727,0.0862267619713046
