dataset,best_node.mean.relative,best_node.sd.relative,elite_nn.mean.relative,elite_nn.sd.relative,linear_discr.mean.relative,linear_discr.sd.relative,naive_bayes.mean.relative,naive_bayes.sd.relative,one_nn.mean.relative,one_nn.sd.relative,random_node.mean.relative,random_node.sd.relative,worst_node.mean.relative,worst_node.sd.relative
1,4.0,4.0,3.0,7.0,6.0,3.0,5.0,2.0,7.0,1.0,2.0,6.0,1.0,5.0
2,6.0,3.0,2.0,2.0,7.0,4.0,5.0,6.0,3.0,1.0,4.0,7.0,1.0,5.0
3,6.0,6.0,4.0,7.0,7.0,3.0,5.0,4.0,3.0,5.0,1.0,2.0,2.0,1.0
4,6.5,2.0,6.5,2.0,3.5,5.0,5.0,6.0,1.0,7.0,3.5,2.0,2.0,4.0
5,4.0,2.0,1.0,7.0,7.0,4.0,2.0,5.0,6.0,6.0,4.0,2.0,4.0,2.0
6,4.0,2.0,1.0,7.0,7.0,5.0,2.0,4.0,6.0,6.0,4.0,2.0,4.0,2.0
7,4.5,2.0,1.0,7.0,7.0,4.0,2.0,5.0,4.5,6.0,4.5,2.0,4.5,2.0
8,4.0,4.5,1.0,1.0,4.0,6.0,4.0,4.5,2.0,3.0,7.0,2.0,6.0,7.0
9,4.0,6.0,3.0,7.0,7.0,2.0,5.0,4.0,6.0,3.0,1.0,5.0,2.0,1.0
10,5.0,6.0,4.0,2.0,6.0,5.0,3.0,7.0,7.0,4.0,1.0,1.0,2.0,3.0
11,3.0,3.0,4.5,4.5,2.0,6.0,1.0,7.0,4.5,4.5,6.5,1.5,6.5,1.5
12,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
13,6.0,2.0,5.0,6.0,7.0,3.0,1.0,4.0,4.0,7.0,3.0,1.0,2.0,5.0
14,1.0,3.0,5.0,2.0,7.0,5.0,2.0,6.0,6.0,7.0,4.0,1.0,3.0,4.0
15,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
16,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
17,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
18,4.0,4.0,3.0,5.0,6.0,2.0,1.0,7.0,2.0,6.0,6.0,2.0,6.0,2.0
19,2.0,7.0,1.0,5.0,6.0,3.0,7.0,4.0,3.5,6.0,3.5,2.0,5.0,1.0
20,6.0,2.0,6.0,2.0,3.0,7.0,4.0,6.0,6.0,2.0,1.0,4.0,2.0,5.0
21,4.0,4.0,2.0,6.0,6.0,2.0,1.0,5.0,3.0,7.0,6.0,2.0,6.0,2.0
22,7.0,3.0,2.0,4.0,4.0,7.0,1.0,5.0,3.0,6.0,5.5,1.5,5.5,1.5
23,7.0,5.0,2.0,3.0,6.0,6.0,1.0,7.0,3.0,4.0,4.5,1.5,4.5,1.5
24,5.0,3.0,5.0,3.0,5.0,3.0,1.0,7.0,2.0,6.0,5.0,3.0,5.0,3.0
25,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,1.0,1.0,7.0,7.0
