@relation data_456

@attribute ZN-E numeric
@attribute PH-E numeric
@attribute SSV-E numeric
@attribute SED-E numeric
@attribute PH-P numeric
@attribute SSV-P numeric
@attribute SED-P numeric
@attribute PH-D numeric
@attribute SSV-D numeric
@attribute SED-D numeric
@attribute PH-S numeric
@attribute SSV-S numeric
@attribute SED-S numeric
@attribute RD-DBO-P numeric
@attribute RD-SS-P numeric
@attribute RD-SED-P numeric
@attribute RD-DBO-S numeric
@attribute RD-DQO-S numeric
@attribute RD-DBO-G numeric
@attribute RD-DQO-G numeric
@attribute RD-SS-G numeric
@attribute binaryClass {P,N}

@data
1.5,7.8,66.3,4.5,7.9,70.2,5.5,7.9,72.3,0.3,7.3,81,0.02,?,58.8,95.5,?,70,?,79.4,87.3,N
3,7.7,69.2,6.5,7.7,75.4,7.7,7.6,79.2,0.4,7.5,94.1,0,?,60.7,94.8,?,80.8,?,79.5,92.1,N
5,7.6,69.9,3.4,7.7,72.7,4.5,7.7,78.3,0.2,7.6,81,0.05,?,58.2,95.6,?,52.9,?,75.8,88.7,P
3.5,7.9,65.6,4.5,7.8,73.1,8.5,7.8,77.1,0.4,7.6,96.7,0,33.1,64.2,95.3,87.3,72.3,90.2,82.3,89.6,N
1.5,8,64.8,4,7.9,57.6,4.5,7.8,68.2,0.2,7.6,65.9,0.02,?,62.7,95.6,?,71,92.1,78.2,87.5,N
3,7.8,68.8,4.5,7.8,66.1,8.5,7.7,76,0.3,7.5,82.1,0,?,59.7,96.5,86.7,78.3,90.1,73.1,84.9,N
6,7.8,64.1,5,7.8,67.5,6.5,7.8,72.1,0.4,7.5,84.6,0.05,?,61.9,93.8,89.1,79.8,?,86.2,90.1,P
5,7.7,40.7,6,7.6,53.9,8,7.6,71.1,0.4,7.5,66.7,0,?,70.4,95.6,90.6,53.7,92.1,66.9,94.6,N
2.5,7.7,69.1,4.5,7.7,61.8,4,7.7,77.4,0.3,7.5,84.2,0.03,46.1,43.6,92.5,85.6,58.2,92.2,73.8,90.2,N
2,7.8,69,5,7.8,66.1,6.5,7.8,78,0.6,7.6,87,0.02,21.2,59.7,90.8,88.4,66.1,89,69,86.5,N
0.7,7.9,67,5.5,8.1,62.5,5,7.7,71.2,0.4,7.6,79.6,3.5,0.6,45.8,92,11.6,25.7,19.6,36,43,P
1.5,7.7,33.8,3.5,7.6,31.3,4.2,7.6,51.9,0.3,7.4,73.9,2,31.8,61.2,92.9,?,?,?,?,18.5,P
0.7,7.6,58.6,1.2,7.9,64.7,3,7.7,82.9,0.3,7.5,78.8,0.06,46.6,48.5,91.7,?,20.4,26.3,31.7,10.3,P
?,8.1,67.8,3,7.8,74.4,2.5,7.8,79.5,0.4,7.6,87.8,0,41.1,50,84,76.5,52.9,84.3,54.1,43.7,N
3.5,7.6,57.4,2.5,7.6,63.6,2,7.6,81.8,0.2,7.5,82.9,0.02,32.7,33.3,90,82.6,61.3,87,71.4,78.2,N
1.5,7.8,58.9,5.5,7.7,71.9,5.5,7.7,88.6,0.4,7.6,85,0,28,72.7,92.7,78.8,36.6,85.9,60.4,90.7,N
1.2,7.4,61.1,7,7.4,57.4,6.5,7.4,73.3,0.5,7.3,82.5,0,49.8,58.3,92.3,89.9,96.8,94.4,98.1,92.1,N
1.2,7.8,63.4,4,7.7,65.3,6,7.7,80.5,1.3,7.5,82.7,0.03,?,39.6,78.3,85.5,70.4,91.3,73.4,89.4,N
1.2,7.6,61.3,5.5,7.7,70,5,7.6,84.3,0.4,7.5,84.2,0.02,35.3,57.5,92,75.6,49.3,80.8,60.8,76.1,N
