@relation data_173

@attribute ID numeric
@attribute x numeric
@attribute y numeric
@attribute pop numeric
@attribute binaryClass {P,N}

@data
70001000,4.07,-67.35,3540,N
70002000,4.64,-66.86,3560,N
70003000,5.71,-66.98,3739,N
70004000,7.61,-66,2784,N
70005000,7.32,-67.32,2571,N
70006000,8.56,-66.93,2729,N
70007000,9.21,-67.18,3952,N
70008000,10.18,-66.88,993,P
70009000,8.7,-68.31,1908,N
70010000,7.4,-68.08,948,P
70011000,7.34,-68.35,1172,N
70012000,6.64,-67.64,1047,N
70013000,5.56,-67.78,3138,N
70014000,5.4,-68.52,5485,N
70015000,3.89,-68.17,5554,N
70016000,4.32,-69.59,2943,N
70017000,6.73,-69.76,4969,N
70018000,8.34,-68.8,4828,N
70119010,4.32,-40.07,2618,P
70119020,5.89,-48.61,2244,P
70119030,-3.92,-39.1,2039,N
70120010,-3.47,-53.64,1425,P
70120020,-4.24,-57.96,5262,N
70121010,10.47,-59.75,4126,N
70121020,10.43,-60.77,4133,N
70121030,6.03,-60.33,3974,N
70122010,9.29,-63.5,3036,N
70122020,15.3,-57.99,4364,N
70123000,28.53,-59.21,4965,N
70124000,44.54,-71.66,2635,N
70125000,26.2,-70.75,5911,N
70126000,14.65,-70.15,5834,N
70127010,13.63,-73.3,6204,N
70127020,5.52,-71.26,5007,N
70128000,6.22,-64.64,5594,N
70129000,2.29,-63.13,1198,P
70130000,-1.31,-65.94,5088,N
70131000,-3.06,-67.42,3107,N
70132010,-3.23,-66.66,2851,P
70132020,-3.38,-66.13,3725,N
70133010,-7.74,-68.31,5505,N
70133020,-6.27,-66.09,8122,P
70134000,-4.85,-67.16,5146,N
70135000,-4.79,-67.94,2143,N
70136000,-6.28,-68.08,3912,P
70137000,-5.5,-68.65,3256,N
70138000,3.11,-65.59,3909,N
70139000,2.42,-66.55,3106,N
70140000,2.74,-67.01,3433,N
70141000,2.65,-67.67,4048,N
70142000,1.48,-65.56,2630,N
70143000,0.73,-69.44,12221,N
70144000,-4.2,-69.33,5963,N
70145000,-7.08,-71.15,3857,N
70146000,-2.69,-75.29,5197,N
119901001,-52.89,53.87,2165,P
119901002,-51.07,38.29,2778,N
119901003,-50.94,41.67,2110,P
119901004,-47.92,25.53,2422,P
119901005,-48.4,24.71,1019,P
119902001,-52.76,58.3,1285,P
119902002,-45.64,52.63,2113,P
119902003,-47.75,51.82,173,P
119903001,-45.14,46.43,1203,P
119903002,-44.56,51.24,119,P
119904001,-48.47,50.02,487,P
119904002,-52.07,48.06,1332,P
119904003,-55.41,52.92,416,P
119905001,-57.05,33.31,1214,P
119905002,-54.46,43.35,257,P
119905003,-53.51,37.33,758,P
119905004,-52.55,36.75,58,P
119905005,-53.86,30.37,1618,N
119906001,-50.38,35.44,841,P
119906002,-45.89,35.79,2459,P
119906003,-46.79,36.57,2467,P
119906004,-51.74,37.18,657,P
119906005,-48.79,32.07,77,P
119907001,-41.6,27.7,1644,N
119907002,-47.85,26.64,2006,N
119907003,-46,25.7,522,N
119907004,-46.58,25.75,991,P
119908001,-43.21,24.8,1711,P
119908002,-41.87,22.62,755,P
119908003,-43.34,22.72,548,P
119908004,-45.36,23.75,1623,P
119908006,-45.89,23.98,802,P
119908007,-45.83,23.13,582,P
119909001,-46.73,26.84,1045,N
119909002,-46.82,26.54,1215,N
119909003,-45.71,25.77,1689,N
119909004,-46.28,25.61,2277,N
119909005,-47.02,25.74,1172,N
119911001,-48.43,23.86,2017,N
119911002,-47.59,23.95,2370,N
119911003,-47.55,25.02,813,P
119912001,-57.47,23.6,1114,P
119912002,-48.75,22.34,1979,N
119912003,-55.9,17.34,943,P
119912004,-57.53,15.24,476,P
119912005,-60.85,23.79,310,P
119912006,-47.86,23,375,P
119912007,-46.47,22.65,419,P
119913001,-45.46,25.02,1049,P
119913002,-46.17,25,2010,N
119913003,-46.82,24.67,2114,N
119913004,-46.65,23.91,1637,P
119914001,-50,11,472,P
119914002,-56.48,13.49,446,P
119914003,-55.42,6.48,929,N
119914004,-57.35,14.32,309,P
119914005,-58.16,4.2,763,N
119915001,-45.74,17.65,581,P
119915002,-45.87,9.05,880,P
119915003,-43.76,3.57,283,P
119915005,-45.74,17.65,21,P
119916001,-38.61,14.09,1161,P
119916002,-31.42,12.11,648,P
119916003,-26.55,6.81,398,P
119916004,-34.97,2.8,910,P
119917001,-25.68,-1.36,504,P
119917002,-32.4,-0.17,479,P
119917003,-33.68,-5.97,1544,P
119917004,-26.91,-5.93,634,P
119917005,-35.68,0.37,1117,P
119918001,-37.61,-2.24,357,P
119918002,-43.31,-2.89,736,P
119918003,-43.94,-6.98,724,N
119919001,-48.63,2.63,505,P
119919002,-53.09,0.8,359,P
119919003,-51.89,-5.77,898,P
179901001,53.31,-0.19,345,P
179901002,43.53,-3.13,2309,N
179901003,37.09,-0.26,1422,P
179901004,36.93,-7.3,1704,P
179902001,25.18,-3.73,513,P
179902002,22.79,-8.07,916,P
179902003,11.03,-7.01,879,P
179902004,13.06,-16.16,704,P
179902005,25.46,-15.55,531,P
179902006,29.83,-19.58,646,P
179903001,37.87,-19.84,1420,N
179903002,38.23,-20.9,1104,N
179903003,38.85,-20.94,1617,N
179904001,37.89,-18.6,1639,N
179904002,39.51,-20.19,1398,N
179904003,38.7,-19.55,904,P
179905001,52.73,-10.57,2626,N
179905002,43.62,-10.99,930,N
179905003,43.52,-21.07,2246,N
179906001,35.78,-13.32,1111,P
179906002,33.78,-22.77,1824,P
179906003,37.52,-29.51,3223,N
179906004,44,-29.32,1552,P
179907001,30.38,-28.99,1646,P
179907002,20.84,-27.74,356,N
179907003,13.33,-28.32,374,P
179908001,46.67,-46.97,953,P
179908002,41.6,-45.03,1349,N
179908003,39,-38.62,713,P
179908004,26.39,-41,1159,P
179908005,23.53,-36.15,888,P
179908006,15.61,-38.82,2216,P
179909001,42.2,-52.05,1103,N
179909002,40.23,-47.58,1411,N
179909003,36.39,-50.91,1040,P
179909004,33.15,-53.3,1163,P
179909005,21.61,-46.35,980,P
179909006,16.06,-45.51,2430,P
239901001,1.81,2.27,1449,P
239901002,1.03,-8.37,770,P
239901003,5.36,-19.4,1088,N
239901004,-0.27,-18.7,870,P
239901005,-1.99,-27.52,460,P
239901006,5.22,-27.88,895,P
239902001,-10.43,5.01,546,P
239902002,-15.05,-4.82,1470,N
239902003,-7.23,-1.96,576,P
239903001,-14.83,3.04,1330,P
239903002,-17.94,-2.71,1363,P
239903003,-21.18,-4.85,2960,N
239904001,-18.81,-10.14,1824,N
239904002,-17.78,-15.31,1067,N
239904003,-19.3,-12.45,2214,N
239905001,-17.2,-10.82,2303,N
239905002,-20.36,-11.41,779,N
239905003,-19.15,-11.69,1339,P
239906001,-16.47,-12.2,1104,P
239906002,-15.54,-11.8,1456,N
239906003,-15.18,-12.17,682,P
239907001,-7.47,-10.59,1208,N
239907002,-13.77,-9.79,880,N
239907003,-15.69,-11.97,833,N
239908001,-4.8,-14.56,1415,N
239908002,-9.74,-19.02,611,P
239908003,-5.11,-28.72,884,P
239908004,-4.89,-31.12,801,N
239909001,-14.02,-13.55,2194,P
239909002,-17.67,-13.66,1738,N
239909003,-13.76,-23.64,923,P
239910001,-19.16,-13.56,555,N
239910002,-19.28,-13.68,4639,N
239910003,-19.07,-12.82,799,N
239910004,-19.53,-12.46,445,P
239911001,-17.54,-15,2751,N
239911002,-19.66,-22,1124,N
239911003,-19.63,-31.45,475,P
530301011,24.53,42.09,1160,P
530301012,28.2,40.78,4010,N
530301021,27.7,42.61,1054,N
530301023,27.13,39.94,833,P
530301024,27.83,39.42,1053,N
530301031,24.53,42.1,1180,P
530301032,25.71,40.73,731,P
530301033,28.88,40.88,789,P
530302001,19.79,49.65,1754,P
530302002,17.9,41.18,2012,P
530303001,19.41,41.99,1807,P
530303002,18.51,41.98,1398,P
530303003,18.78,40.66,1568,P
530304011,7.17,48.29,6557,N
530304021,10.31,40.84,1248,P
530304022,11.28,35.33,1271,P
530304031,9.69,38.66,1456,P
530304032,7.29,38.1,1979,P
530304033,8.51,38.08,860,P
530305011,11,23.62,1284,N
530305012,10.65,24.73,1315,N
530305021,10.93,28.18,2015,N
530305022,11.39,18.74,1266,P
530306001,29.75,31.11,1868,N
530306002,25.86,31.8,1360,P
530306003,19,35.96,1289,P
530306004,17.48,29.01,1733,P
530307001,30.72,20.46,1692,P
530307002,27.17,20.19,3646,P
530307003,18.64,19.71,1330,P
530307004,19.85,15.99,9,P
530308001,19.8,11.04,1162,N
530308002,11.84,7.94,1279,N
530308003,18.28,7.55,804,P
530309001,36.68,13.28,1637,N
530309002,35.91,13.35,2088,P
530310001,38.58,22.83,1486,P
530310002,40.7,15.26,1534,N
530310003,38.79,5.35,1596,P
530311001,54.13,13.47,1045,P
530311002,52.89,7.06,992,P
670001009,-15.33,40.51,9,P
670002001,-13.5,41.52,488,N
670002002,-13.58,41.27,779,N
670002003,-13.78,41.03,734,N
670002004,-14.03,40.74,1074,P
670002005,-14.08,40.49,629,N
670003001,-12.73,41.68,887,P
670003002,-13.15,41.79,815,P
670004001,-11.77,41.14,727,P
670004002,-12.55,40.95,1119,P
670004003,-12.43,41.17,1006,P
670004004,-12.37,41.42,818,P
670004005,-12,41.63,523,N
670005001,-13.67,39.83,881,N
670005002,-14.14,40.23,520,P
670006001,-13.22,40.77,1214,P
670006002,-13.32,40.41,1069,P
670006003,-13.52,40.18,985,N
670007001,-12.69,40.6,838,P
670007002,-12.82,40.28,774,P
670008001,-12.25,40.63,760,N
670008002,-11.99,40.37,672,P
670008003,-12.2,40.1,1273,N
670009001,-10.68,40.34,1159,N
670009002,-11.35,39.9,834,P
670009003,-11.58,40.2,521,P
670009004,-11.08,40.51,708,P
670009005,-11.52,40.61,705,N
670010001,-9.16,40.61,793,N
670010002,-9.81,40.44,531,P
670010003,-9.81,40.68,857,P
670010004,-9.75,41.01,558,P
670010005,-10.11,40.87,817,P
670010006,-10.46,40.64,774,N
670011001,-14.69,39.5,143,N
670012001,-13.92,39.12,99,P
670013001,-13.3,39.4,1475,P
670014001,-12.78,39.69,1114,N
670014002,-13.15,39.83,1016,N
670014003,-12.99,40.06,636,P
670015001,-11.98,39.74,669,N
670015002,-12.34,39.38,910,N
670015003,-12.51,39.6,1057,N
670016001,-11.82,39.2,1554,N
670016002,-12.53,38.67,1578,N
670017011,-11.09,39.45,1322,N
670017012,-11.13,38.8,1281,N
