@relation data_178

@attribute Date {07/08/91,07/09/91,07/10/91,07/11/91,07/12/91,07/13/91,07/14/91,07/15/91,07/16/91,07/17/91,07/18/91,07/19/91,07/20/91,07/21/91,07/22/91,07/23/91,07/24/91,07/25/91,07/26/91,07/27/91,07/28/91,07/29/91,07/30/91,07/31/91,08/01/91,08/02/91,08/03/91,08/04/91,08/05/91,08/06/91,08/07/91,08/08/91,08/09/91,08/10/91,08/11/91,08/12/91,08/13/91,08/14/91,08/15/91,08/16/91,08/17/91,08/18/91,08/19/91,08/20/91,08/21/91,08/22/91,08/23/91,08/24/91,08/25/91,08/26/91,08/27/91}
@attribute average_daytime_continuous numeric
@attribute average_daytime_passive numeric
@attribute average_nighttime_continuous numeric
@attribute binaryClass {P,N}

@data
07/08/91,47.33,52.82,19.58,P
07/09/91,42.58,53.25,9.42,P
07/10/91,59.55,56.32,19.83,P
07/11/91,52.92,50.06,15.08,P
07/12/91,55.25,59.5,28.75,N
07/13/91,54.75,56.8,27.83,N
07/14/91,35.33,40.88,11.83,P
07/15/91,48.08,49.12,12.33,P
07/16/91,66.25,57.79,27.92,P
07/17/91,88.67,94.99,30.67,N
07/18/91,92.33,87.45,36.17,N
07/19/91,81.25,93.74,17,P
07/20/91,77.75,83.84,18,N
07/21/91,69.09,81.23,15.58,P
07/22/91,68.67,65.25,35.92,N
07/23/91,60.08,81.42,8.17,P
07/24/91,62.64,53.78,19.92,N
07/25/91,49.42,52.82,21.67,P
07/26/91,54.17,45.36,15.5,P
07/27/91,48.67,16.25,16.17,N
07/28/91,52.5,48.35,33.33,N
07/29/91,55,40.85,38.42,N
07/30/91,43.08,44.76,22.92,P
07/31/91,41.45,30.56,9.33,N
08/01/91,74.67,73.51,30.17,N
08/02/91,68.5,54.53,21,P
08/03/91,78.75,32.63,41.92,N
08/04/91,43.83,41.52,18.5,P
08/05/91,35,43.18,16.58,P
08/06/91,50,42.82,24.92,N
08/07/91,66.09,59.64,20.92,N
08/08/91,64.92,65.72,44.08,N
08/09/91,43.5,43.91,11.25,P
08/10/91,41.92,44.35,22.58,P
08/11/91,35.92,32.55,9.75,P
08/12/91,37.58,3.28,7.83,P
08/13/91,44.5,43.79,19,P
08/14/91,69.27,56.97,20,N
08/15/91,46.92,47.01,11.92,P
08/16/91,65.5,79.18,26.83,N
08/17/91,75.25,85.98,39,N
08/18/91,32.17,39.5,11.67,P
08/19/91,44.33,51.17,30.25,N
08/20/91,27.75,34.21,8.92,P
08/21/91,31.82,56.05,3.17,P
08/22/91,49.83,62.38,9.75,P
08/23/91,59.33,54.99,9.25,P
08/24/91,45,46.13,19.75,P
08/25/91,54.75,48.92,8.42,P
08/26/91,45.83,60.46,8.08,P
08/27/91,56.67,59.15,11.83,N
