@relation data_465

@attribute year numeric
@attribute outcome_1 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_2 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_3 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_4 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_5 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_6 {loss_at_home,loss_on_road,win_at_home,win_on_road}
@attribute outcome_7 {loss_at_home,win_at_home,win_on_road}
@attribute outcome_8 {win_at_home,win_on_road}

@data
1903,loss_at_home,win_at_home,loss_at_home,loss_on_road,win_on_road,win_on_road,win_on_road,win_at_home
1927,win_on_road,win_on_road,win_at_home,win_at_home,win_on_road,win_at_home,win_on_road,win_on_road
1950,win_on_road,win_on_road,win_at_home,win_at_home,win_on_road,win_at_home,win_on_road,win_on_road
1973,win_at_home,loss_at_home,win_on_road,loss_on_road,loss_on_road,win_at_home,win_at_home,win_on_road
1905,win_on_road,loss_at_home,win_on_road,win_at_home,win_at_home,win_at_home,win_on_road,win_on_road
1928,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1951,loss_at_home,win_at_home,loss_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1974,win_on_road,loss_on_road,win_at_home,win_at_home,win_at_home,win_at_home,win_on_road,win_on_road
1906,win_on_road,loss_at_home,win_on_road,loss_at_home,win_on_road,win_at_home,win_on_road,win_on_road
1929,win_on_road,win_on_road,loss_at_home,win_at_home,win_at_home,win_at_home,win_on_road,win_on_road
1952,loss_on_road,win_on_road,loss_at_home,win_at_home,loss_at_home,win_on_road,win_on_road,win_on_road
1975,loss_on_road,win_on_road,win_at_home,loss_at_home,win_at_home,loss_on_road,win_on_road,win_on_road
1907,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1930,win_at_home,win_at_home,loss_on_road,loss_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1953,win_at_home,win_at_home,loss_on_road,loss_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1976,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1908,win_on_road,win_at_home,loss_at_home,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1931,loss_at_home,win_at_home,win_on_road,loss_on_road,win_on_road,loss_at_home,win_at_home,win_on_road
1954,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1977,win_at_home,loss_at_home,win_on_road,win_on_road,loss_on_road,win_at_home,win_on_road,win_on_road
1909,win_at_home,loss_at_home,win_on_road,loss_on_road,win_at_home,loss_on_road,win_on_road,win_on_road
1932,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1955,loss_on_road,loss_on_road,win_at_home,win_at_home,win_at_home,loss_on_road,win_on_road,win_on_road
1978,loss_on_road,loss_on_road,win_at_home,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road
1910,win_at_home,win_at_home,win_on_road,loss_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1933,win_at_home,win_at_home,loss_on_road,win_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1956,loss_on_road,loss_on_road,win_at_home,win_at_home,win_at_home,loss_on_road,win_on_road,win_on_road
1979,loss_on_road,win_on_road,loss_at_home,loss_at_home,win_at_home,win_on_road,win_on_road,win_on_road
1911,loss_on_road,win_at_home,win_on_road,win_at_home,loss_on_road,win_at_home,win_on_road,win_on_road
1934,win_on_road,loss_on_road,win_at_home,loss_at_home,loss_at_home,win_on_road,win_on_road,win_on_road
1957,loss_on_road,win_on_road,loss_at_home,win_at_home,win_at_home,loss_on_road,win_on_road,win_on_road
1980,win_at_home,win_at_home,loss_on_road,loss_on_road,win_on_road,win_at_home,win_on_road,win_on_road
1912,win_on_road,loss_at_home,win_on_road,win_at_home,loss_on_road,loss_at_home,win_at_home,win_on_road
1935,loss_at_home,win_at_home,win_on_road,win_on_road,loss_on_road,win_at_home,win_on_road,win_on_road
1958,loss_on_road,loss_on_road,win_at_home,loss_at_home,win_at_home,win_on_road,win_on_road,win_on_road
1981,loss_on_road,loss_on_road,win_at_home,win_at_home,win_at_home,win_on_road,win_on_road,win_on_road
1913,win_on_road,loss_at_home,win_on_road,win_at_home,win_on_road,win_at_home,win_on_road,win_on_road
