@relation data_396

@attribute year numeric
@attribute height numeric
@attribute binaryClass {P,N}

@data
1990,770,N
1980,677,N
1990,428,P
1989,410,P
1966,371,P
1976,504,P
1974,1136,N
1991,695,N
1982,551,N
1986,550,P
1931,568,N
1979,504,P
1988,560,N
1973,512,P
1981,448,P
1983,538,P
1968,410,P
1927,409,P
1969,504,P
1988,777,N
1987,496,P
1960,386,P
1984,530,P
1976,360,P
1920,355,P
1931,1250,N
1989,802,N
1907,741,N
1988,739,N
1990,650,N
1973,592,N
1983,577,N
1971,500,P
1969,469,P
1971,320,P
1988,441,P
1989,845,N
1973,435,P
1987,435,P
1931,375,P
1931,364,P
1924,340,P
1931,375,P
1991,450,P
1973,529,P
1976,412,P
1990,722,N
1983,574,N
1984,498,P
1986,493,P
1986,379,P
1992,579,N
1973,458,P
1988,454,P
1979,952,N
1972,784,N
1930,476,P
1978,453,N
1978,440,P
1977,428,P
