@relation data_40

@attribute Days.between.explosions {0-30,1021-1050,1051-1080,1081-1110,1111-1140,1141-1170,1171-1200,1201-1230,121-150,1231-1260,1261-1290,1291-1320,1321-1350,1351-1380,1381-1410,1411-1440,1441-1470,1471-1500,1501-1530,151-180,1531-1560,1561-1590,1591-1620,1621-1650,181-210,211-240,241-270,271-300,301-330,31-60,331-360,361-390,391-420,421-450,451-480,481-510,511-540,541-570,571-600,601-630,61-90,631-660,661-690,691-720,721-750,751-780,781-810,811-840,841-870,871-900,901-930,91-120,931-960,961-990,991-1020}
@attribute Count numeric
@attribute Year numeric
@attribute binaryClass {P,N}

@data
0-30,18,1850,N
31-60,14,1851,N
61-90,9,1852,N
91-120,8,1853,P
121-150,6,1854,P
151-180,4,1855,N
181-210,6,1856,N
211-240,7,1857,N
241-270,1,1858,P
271-300,6,1859,N
301-330,7,1860,N
331-360,5,1861,N
361-390,5,1862,N
391-420,0,1863,P
421-450,0,1864,N
451-480,2,1865,N
481-510,1,1866,N
511-540,1,1867,N
541-570,1,1868,N
571-600,0,1869,N
601-630,0,1870,N
631-660,1,1871,N
661-690,0,1872,P
691-720,0,1873,N
721-750,1,1874,N
751-780,0,1875,P
781-810,0,1876,N
811-840,0,1877,N
841-870,0,1878,N
871-900,1,1879,N
901-930,0,1880,N
931-960,0,1881,N
961-990,0,1882,N
991-1020,0,1883,N
1021-1050,0,1884,N
1051-1080,0,1885,N
1081-1110,0,1886,N
1111-1140,0,1887,P
1141-1170,0,1888,N
1171-1200,0,1889,N
1201-1230,1,1890,N
1231-1260,0,1891,P
1261-1290,0,1892,P
1291-1320,1,1893,P
1321-1350,0,1894,P
1351-1380,1,1895,N
1381-1410,0,1896,P
1411-1440,0,1897,P
1441-1470,0,1898,P
1471-1500,0,1899,P
1501-1530,0,1900,P
1531-1560,0,1901,P
1561-1590,0,1902,P
1591-1620,1,1903,P
1621-1650,1,1904,N
?,?,1905,P
?,?,1906,P
?,?,1907,N
?,?,1908,N
?,?,1909,N
?,?,1910,P
?,?,1911,P
?,?,1912,P
?,?,1913,P
?,?,1914,P
?,?,1915,P
?,?,1916,P
?,?,1917,P
?,?,1918,P
?,?,1919,P
?,?,1920,P
?,?,1921,N
?,?,1922,P
?,?,1923,P
?,?,1924,P
?,?,1925,P
?,?,1926,P
?,?,1927,P
?,?,1928,P
?,?,1929,N
?,?,1930,N
?,?,1931,N
?,?,1932,P
?,?,1933,P
?,?,1934,N
?,?,1935,P
?,?,1936,P
?,?,1937,P
?,?,1938,P
?,?,1939,N
?,?,1940,N
?,?,1941,N
?,?,1942,P
?,?,1943,P
?,?,1944,P
?,?,1945,P
?,?,1946,N
?,?,1947,P
?,?,1948,P
?,?,1949,P
?,?,1950,P
?,?,1951,P
?,?,1952,P
?,?,1953,P
?,?,1954,P
?,?,1955,P
?,?,1956,P
?,?,1957,P
?,?,1958,P
?,?,1959,P
?,?,1960,P
?,?,1961,P
