@relation data_403

@attribute year numeric
@attribute lynx numeric
@attribute binaryClass {P,N}

@data
1821,269,P
1822,321,P
1823,585,P
1824,871,P
1825,1475,P
1826,2921,N
1827,3928,N
1828,5943,N
1829,4950,N
1830,2577,N
1831,523,P
1832,98,P
1833,184,P
1834,279,P
1835,409,N
1836,2285,N
1837,2685,N
1838,3409,N
1839,1824,N
1860,409,N
1841,151,P
1842,45,P
1843,68,P
1844,213,P
1845,546,N
1846,1033,N
1847,2129,N
1848,2536,N
1849,957,N
1850,361,N
1851,377,N
1852,225,N
1853,360,P
1854,731,P
1855,1638,P
1856,2725,P
1857,2871,P
1858,2119,N
1859,684,N
1860,299,N
1861,236,N
1862,245,N
1863,552,P
1864,1623,P
1865,3311,P
1866,6721,P
1867,4254,P
1868,687,N
1869,255,N
1870,473,N
1871,358,N
1872,784,N
1873,1594,N
1874,1676,P
1875,2251,P
1876,1426,P
1877,756,P
1878,299,P
1879,201,P
1880,229,N
1881,469,N
1882,736,N
1883,2042,N
1884,2811,N
1885,4431,P
1886,2511,P
1887,389,P
1888,73,P
1889,39,P
1890,49,P
1891,59,N
1892,188,N
1893,377,N
1894,1292,N
1895,4031,N
1896,3495,P
1897,587,P
1898,105,P
1899,153,P
1900,387,P
1901,758,P
1902,1307,P
1903,3465,P
1904,6991,N
1905,6313,N
1906,3794,N
1907,1836,N
1908,345,N
1909,382,P
1910,808,P
1911,1388,P
1912,2713,P
1913,3800,P
1914,3091,P
1915,2985,N
1916,3790,N
1917,674,N
1918,81,N
1919,80,N
1920,108,P
1921,229,P
1922,399,P
1923,1132,P
1924,2432,P
1925,3574,N
1926,2935,N
1927,1537,N
1928,529,N
1929,485,N
1930,662,P
1931,1000,P
1932,1590,P
1933,2657,P
1934,3396,P
