@relation data_158

@attribute random {N,R}
@attribute 0.91km numeric
@attribute 1.18km numeric
@attribute 1.40km numeric
@attribute 1.60km numeric
@attribute 1.77km numeric
@attribute 2.41km numeric
@attribute binaryClass {P,N}

@data
R,26,33.3,25.6,19.1,31.4,24.8,P
R,100,92.7,90.1,72.8,51.9,50.6,P
R,32,22.2,38.3,39.9,22.1,20.2,P
R,43,79.7,61.4,81.2,47.7,69.6,P
R,74,61.8,48.3,67.4,74.9,66,N
R,63,85,85.8,84.9,78,78,P
R,60,72.2,58.1,54.1,55.6,53.5,N
R,46,68,68.8,67.9,71.9,69.5,N
R,80,62.9,42,59.6,68.4,59.7,N
R,76,63.8,60.7,59.1,44.2,53.4,P
R,73,60.8,64.6,58.1,59.6,57.5,P
R,50,54.9,65.8,51.6,49.6,54,P
R,77,74.6,69.1,74,63.1,61.2,N
R,68,63.1,55.7,63,79.3,81.1,N
R,66,66,62.6,60.6,20.4,66.8,P
R,88,92.9,83.1,88,82.6,84.8,N
R,90,94.9,81.7,75.7,80.6,67.7,N
R,50,52.4,61.3,45.1,52,62.8,N
R,70,72.4,67.6,74.4,65.6,76.5,N
R,15,39.4,52.6,59.7,49.9,49.6,P
R,82,74.7,65.2,61.7,55.7,58.2,P
R,68,55.8,56.1,56.6,49.1,58,P
R,47,44.6,52.9,21.3,52.9,50.5,P
R,75,75,78.4,80.4,55.2,49.3,N
R,62,49.8,50.1,37.2,51,64,N
R,74,42.2,47.2,57,62.4,62.3,N
R,29,51,48.3,49.9,43,38.7,P
R,73,65.7,73.4,79.9,78.4,71.8,N
R,81,76.1,68.7,53.8,60.1,60.4,N
R,57,69.2,65.4,76.3,76.9,74.5,N
N,81,83.4,88.9,92.9,80.6,72,P
N,80,87.3,93.3,81.6,85,82.8,N
N,96,74,76.7,66.2,69.1,84.5,P
N,82,79.6,91.3,70.7,75.6,73.5,N
N,83,80.6,88.9,79.6,55.8,62.9,P
N,80,80,59.3,65.1,61.1,72.2,P
N,100,100,89.7,97,97,90.5,P
N,67,67,91.1,87.3,87.9,74.7,N
N,81,71.2,70.1,75,75,75,P
N,89,67,86.9,64.2,72.6,83.5,N
N,72,79.3,71.6,82.9,70.6,64.2,P
N,81,56.6,74.4,67.6,65.6,63.5,P
N,77,89.2,82,77.6,81,70.2,N
N,100,85.3,83.7,82.1,89,71.7,N
N,83,68.3,77,77,82.4,75.8,N
N,78,75.6,66.7,56.2,80.9,67.7,N
N,58,80,84.2,80.9,84.9,71.7,N
N,58,38.4,50,58.9,62.9,62.6,P
N,89,93.9,91,86.6,79.1,72.9,N
N,81,71.2,77,68.1,58.7,67.7,N
N,68,53.3,62,66.4,63,63,N
N,86,78.7,79.6,73.1,80,69.2,P
N,51,43.7,44.6,38.1,28.7,48.5,P
N,86,90.9,74.2,84,78.6,83,N
N,72,74.4,93.7,79,79,74.7,N
N,73,70.6,68.6,79.9,78.4,82.6,N
N,76,76,72.6,70.6,74,76.2,N
N,70,62.7,63.6,48.2,56.6,56.7,P
N,87,82.1,85,71.7,82,86.3,N
N,62,47.3,66.3,54.6,52.6,52.7,P
