@relation data_105

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute col_5 numeric
@attribute binaryClass {P,N}

@data
768,1,1,1,1,P
662,1,1,2,2,P
731,1,1,3,3,N
600,1,2,1,1,P
515,1,2,2,2,N
680,1,2,3,3,P
411,1,3,1,1,N
506,1,3,2,2,P
525,1,3,3,3,P
669,2,1,4,4,P
459,2,1,5,5,P
624,2,1,6,6,N
550,2,2,4,4,N
409,2,2,5,5,P
462,2,2,6,6,P
416,2,3,4,4,P
222,2,3,5,5,N
426,2,3,6,6,P
1091,3,1,1,7,P
1234,3,1,2,8,P
1300,3,1,3,9,N
798,3,2,1,7,P
902,3,2,2,8,N
1297,3,2,3,9,P
534,3,3,1,7,N
869,3,3,2,8,P
962,3,3,3,9,P
1105,4,1,1,10,P
891,4,1,2,11,P
859,4,1,3,12,N
712,4,2,1,10,N
830,4,2,2,11,P
617,4,2,3,12,P
453,4,3,1,10,P
629,4,3,2,11,N
597,4,3,3,12,P
941,5,1,1,13,P
794,5,1,2,14,P
779,5,1,3,15,N
718,5,2,1,13,P
603,5,2,2,14,N
718,5,2,3,15,P
548,5,3,1,13,N
613,5,3,2,14,P
515,5,3,3,15,P
933,6,1,1,16,P
724,6,1,2,17,P
749,6,1,3,18,N
658,6,2,1,16,N
649,6,2,2,17,P
594,6,2,3,18,P
576,6,3,1,16,P
496,6,3,2,17,N
612,6,3,3,18,P
