@relation data_392

@attribute Week numeric
@attribute Patch numeric
@attribute binaryClass {P,N}

@data
1,-1.32,P
4,-2.02,P
7,-2.02,P
10,0.18,P
13,-0.92,P
16,-2.02,P
19,-0.92,P
22,-0.63,P
25,-0.22,P
28,-0.22,P
31,-0.92,P
34,-0.63,P
37,-0.92,P
40,-2.02,P
43,-0.07,P
46,1.03,P
49,1.16,P
52,1.45,P
55,0.69,P
58,1.2,P
61,1.32,P
64,1.42,N
67,2.01,N
70,2.27,N
73,1.35,N
76,-0.07,N
79,-0.41,N
82,-0.92,N
85,-0.22,N
88,-0.92,N
91,-1.32,N
94,1.12,N
97,1.94,N
100,2.01,N
103,2.78,N
106,2.74,N
109,1.7,P
112,0.76,N
115,0.55,N
118,-0.92,N
121,-1.32,N
124,1.35,N
127,-2.02,N
130,-2.02,N
133,-0.41,N
136,-0.92,N
139,-0.63,N
142,-1.32,N
145,0.62,P
148,0.62,P
151,1.75,P
154,2.46,N
157,2.43,P
160,-0.41,P
163,-0.41,N
166,1.2,P
169,0.38,N
172,0.47,N
175,2.08,N
178,0.93,N
181,-0.41,N
184,0.18,N
187,-0.63,N
190,-0.41,N
193,-2.02,N
196,-0.07,P
199,-1.32,P
202,0.76,P
205,-0.07,P
208,0.82,P
211,-0.63,P
214,0.98,N
217,-2.02,N
220,-0.41,N
223,-0.92,N
226,0.06,N
229,-0.41,N
232,-2.02,P
235,-0.41,N
238,-1.32,P
241,-2.02,P
244,-1.32,P
247,-0.92,P
250,0.29,P
253,0.18,P
256,0.18,P
259,0.29,P
262,0.62,P
