@relation data_130

@attribute col_1 {1/1/93,1/11/92,1/14/94,1/15/93,1/18/92,1/21/94,1/22/93,1/25/92,1/28/94,1/29/93,1/4/92,1/7/94,1/8/93,10/1/93,10/10/92,10/11/91,10/15/93,10/17/92,10/18/91,10/22/93,10/24/92,10/25/91,10/29/93,10/3/92,10/31/92,10/4/91,10/8/93,11/1/91,11/12/93,11/14/92,11/15/91,11/19/93,11/21/92,11/22/91,11/26/93,11/28/92,11/29/91,11/5/93,11/7/92,11/8/91,12/10/93,12/12/92,12/13/91,12/17/93,12/19/92,12/20/91,12/24/93,12/26/92,12/27/91,12/3/93,12/31/93,12/5/92,12/6/91,2/1/91,2/1/92,2/11/94,2/12/92,2/15/91,2/15/92,2/18/94,2/19/93,2/22/91,2/22/92,2/25/94,2/26/93,2/29/92,2/4/94,2/5/93,2/8/91,2/8/92,3/1/91,3/12/93,3/14/92,3/15/91,3/19/93,3/21/92,3/22/91,3/26/93,3/28/92,3/29/91,3/5/93,3/7/92,3/8/91,4/11/92,4/12/91,4/16/93,4/18/92,4/19/91,4/2/93,4/23/93,4/25/92,4/26/91,4/30/93,4/4/92,4/5/91,4/9/93,5/10/91,5/14/93,5/16/92,5/17/91,5/2/92,5/21/93,5/23/92,5/24/91,5/28/93,5/3/91,5/30/92,5/31/91,5/7/93,5/9/92,6/11/93,6/13/92,6/14/91,6/18/93,6/20/92,6/21/91,6/25/93,6/27/92,6/28/91,6/4/93,6/6/92,6/7/91,7/11/92,7/12/91,7/16/93,7/18/92,7/19/91,7/2/93,7/23/93,7/25/92,7/26/91,7/30/93,7/4/92,7/5/91,7/9/93,8/1/92,8/13/93,8/15/92,8/16/91,8/2/91,8/20/93,8/22/92,8/23/91,8/27/93,8/29/92,8/30/91,8/6/93,8/8/92,8/9/91,9/10/93,9/12/92,9/13/91,9/17/93,9/19/92,9/20/91,9/24/93,9/26/92,9/27/91,9/3/93,9/5/92,9/6/91}
@attribute col_2 numeric
@attribute binaryClass {P,N}

@data
2/1/91,273069,P
2/8/91,283069,P
2/15/91,293465,P
2/22/91,288936,P
3/1/91,290990,P
3/8/91,295520,P
3/15/91,294827,P
3/22/91,285891,P
3/29/91,291386,P
4/5/91,289678,P
4/12/91,292079,P
4/19/91,296559,P
4/26/91,291238,P
5/3/91,293886,P
5/10/91,292017,P
5/17/91,288663,P
5/24/91,291391,P
5/31/91,302750,P
6/7/91,297674,P
6/14/91,300045,P
6/21/91,296556,P
6/28/91,290675,P
7/5/91,293247,P
7/12/91,298077,P
7/19/91,301632,P
7/26/91,297250,P
8/2/91,300626,P
8/9/91,299620,P
8/16/91,296802,P
8/23/91,304025,P
8/30/91,304360,P
9/6/91,301163,P
9/13/91,298569,P
9/20/91,301923,P
9/27/91,300604,P
10/4/91,296176,P
10/11/91,298368,P
10/18/91,307715,P
10/25/91,300492,P
11/1/91,305635,P
11/8/91,304562,P
11/15/91,294320,P
11/22/91,290273,P
11/29/91,289468,P
12/6/91,288640,P
12/13/91,291436,P
12/20/91,293448,P
12/27/91,310152,P
1/4/92,320148,P
1/11/92,319946,P
1/18/92,326498,P
1/25/92,323278,P
2/1/92,322339,P
2/8/92,322540,P
2/15/92,324597,P
2/22/92,328019,P
2/29/92,326767,P
3/7/92,322160,P
3/14/92,323591,P
3/21/92,327639,P
3/28/92,323144,P
4/4/92,324911,P
4/11/92,325537,P
4/18/92,336650,P
4/25/92,332446,P
5/2/92,333609,P
5/9/92,336941,P
5/16/92,335309,P
5/23/92,338677,P
5/30/92,339688,P
6/6/92,339869,P
6/13/92,335436,P
6/20/92,328535,P
6/27/92,328241,P
7/4/92,333029,P
7/11/92,333056,P
7/18/92,333164,P
7/25/92,328571,P
8/1/92,339378,N
8/8/92,333218,P
8/15/92,332894,N
8/22/92,325410,P
8/29/92,326761,P
9/5/92,328193,P
9/12/92,330570,N
9/19/92,332705,N
9/26/92,325032,P
10/3/92,320061,P
10/10/92,313658,P
10/17/92,317441,P
10/24/92,320764,P
10/31/92,322628,P
11/7/92,324006,P
11/14/92,323303,N
11/21/92,322736,N
11/28/92,328220,N
12/5/92,328868,N
12/12/92,330408,N
12/19/92,331327,N
12/26/92,332624,N
1/1/93,330111,N
1/8/93,325167,N
1/15/93,327112,N
1/22/93,325681,N
1/29/93,331003,N
2/5/93,344214,N
2/12/92,339243,N
2/19/93,332218,N
2/26/93,337081,N
3/5/93,340458,N
3/12/93,342782,N
3/19/93,347158,N
3/26/93,343998,N
4/2/93,337081,N
4/9/93,339648,N
4/16/93,347861,N
4/23/93,341377,N
4/30/93,342755,N
5/7/93,343719,N
5/14/93,344301,N
5/21/93,349283,N
5/28/93,352743,N
6/4/93,354514,N
6/11/93,350501,N
6/18/93,349477,N
6/25/93,349089,N
7/2/93,348397,N
7/9/93,352106,N
7/16/93,352829,N
7/23/93,354674,N
7/30/93,353947,N
8/6/93,356043,N
8/13/93,356965,N
8/20/93,361548,N
8/27/93,364063,N
9/3/93,363393,N
9/10/93,362163,N
9/17/93,361325,N
9/24/93,354311,N
10/1/93,358111,N
10/8/93,358474,N
10/15/93,362973,N
10/22/93,364930,N
10/29/93,368059,N
11/5/93,364343,N
11/12/93,368451,N
11/19/93,369401,N
11/26/93,368395,N
12/3/93,370407,N
12/10/93,374067,N
12/17/93,375157,N
12/24/93,375772,N
12/31/93,375409,N
1/7/94,382077,N
1/14/94,386720,N
1/21/94,391448,N
1/28/94,394543,N
2/4/94,387142,N
2/11/94,389478,N
2/18/94,388746,N
2/25/94,383878,N
