@relation data_179

@attribute mburlap numeric
@attribute megg numeric
@attribute binaryClass {P,N}

@data
7.0833,13,P
0.3333,9.5,P
22.25,3545.7,N
2.3333,0,P
0.4167,8.5,P
2,1.4,P
9,0,P
24.9167,60.8,P
11.6667,1290.3,N
22.0833,820,N
0.5833,14.8,P
46.9167,197.5,P
0,3,P
9.4167,182.1,P
0,0,P
0,0,P
0,0.3,P
8.1667,302.6,P
6.5833,986.9,N
13.3333,1472.4,N
12.6667,313.2,P
0,0,P
0.0833,0,P
0,0.2,P
0.2222,0,P
4.8333,93.8,P
3.9167,0,P
0.0833,0,P
0.3333,0,P
0.8333,0,P
1,0,P
2,9.5,P
0.4167,3.4,P
6.75,17.4,P
11.1667,127.6,P
1.9167,4.3,P
0.3846,42.5,P
3.9167,25,P
0,4,P
0,0.4,P
84,2095.6001,N
38.5833,4430.5,N
19.6667,202.4,P
0,0.4,P
144.5,5908.7998,N
38.8462,2196.8,N
1.5833,20,P
0,0,P
34.1667,690.5,N
118.1538,3561.8,N
0.5,3.2,P
