@relation data_143

@attribute N numeric
@attribute TREE {D10,D13,D14,D16,D18,D19,D20,D21,D22,G10,G2,G20,G21,G24,G27,G28,G29,G4,G5,G6,G7,G8,G9,J1,J10,J12,J13,J15,J17,J19,J20,J25,J27,J29,J31,J6,J8,M10,M17,M20,M25,M33,M6,O20,O27,O28,O33,O3O,Q12,Q17,Q19,Q23,Q25,Q3,Q34,Q4,Q5}
@attribute BR {A,B,C,D,E,F,G,H,I,J}
@attribute TL numeric
@attribute IN numeric
@attribute INTERNODE_1 numeric
@attribute INTERNODE_2 numeric
@attribute INTERNODE_3 numeric
@attribute INTERNODE_4 numeric
@attribute INTERNODE_5 numeric
@attribute INTERNODE_6 numeric
@attribute INTERNODE_7 numeric
@attribute INTERNODE_8 numeric
@attribute INTERNODE_9 numeric
@attribute INTERNODE_10 numeric
@attribute INTERNODE_11 numeric
@attribute INTERNODE_12 numeric
@attribute INTERNODE_13 numeric
@attribute INTERNODE_14 numeric
@attribute INTERNODE_15 numeric
@attribute INTERNODE_16 numeric
@attribute INTERNODE_17 numeric
@attribute INTERNODE_18 numeric
@attribute INTERNODE_19 numeric
@attribute INTERNODE_20 numeric
@attribute INTERNODE_21 numeric
@attribute INTERNODE_22 numeric
@attribute INTERNODE_23 numeric
@attribute INTERNODE_24 numeric
@attribute INTERNODE_25 numeric
@attribute INTERNODE_26 numeric
@attribute INTERNODE_27 numeric
@attribute INTERNODE_28 numeric
@attribute INTERNODE_29 numeric
@attribute binaryClass {P,N}

@data
1,G28,A,75,15,1,2.3,7.4,8.6,6.7,7.2,6.6,6.2,5.5,5,5.4,5,4.4,2.6,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
2,G28,B,18,7,0.7,1.3,4,5.2,2.8,2.2,1.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
3,G28,C,46,11,0.5,1,4.3,8.8,6.8,7.6,6.2,4.7,3.5,2.2,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
4,G28,C,16,8,0.5,1.2,3.5,4.2,2.2,2.8,1.5,0.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
5,G28,D,56,16,0.5,1,3.5,8.2,5.3,6.2,4.8,4.7,3.1,3.8,3.3,4.3,3.5,2.4,1.2,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,N
6,G28,E,77,18,0.5,0.7,3,8.7,7.5,8,6.7,6.3,5.4,5.2,6.1,6.2,5,2.4,1.1,2.3,1.5,0.6,?,?,?,?,?,?,?,?,?,?,?,N
7,G28,F,6.5,5,0.5,0.9,2.2,2.5,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
8,G28,F,84.5,17,1.2,2.8,8.8,9.5,7.2,7.7,6.4,6.8,5.7,5,5.4,5.8,3.7,3.7,2.6,1.6,0.6,?,?,?,?,?,?,?,?,?,?,?,?,N
9,G28,F,41,11,0.7,1.3,5.4,8,5.5,6.2,4.2,3.7,3.1,1.9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
10,G28,G,1,3,0.3,0.5,0.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
11,G28,G,1,3,0.2,0.6,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
12,G28,G,4,5,0.5,0.7,1.3,1,0.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
13,G28,G,16,8,0.7,1.2,3.2,4.7,2.8,1.8,1,0.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
14,G28,G,3,4,0.5,1,1.2,0.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,N
