@relation data_114

@attribute col_1 numeric
@attribute col_2 numeric
@attribute col_3 numeric
@attribute binaryClass {P,N}

@data
1,201,301,P
1,230,296,P
1,324,543,N
1,512,778,N
1,399,644,N
1,891,1147,N
1,449,585,P
1,595,807,P
1,632,804,N
1,527,749,P
2,185,236,P
2,216,256,P
2,317,397,P
2,448,639,N
2,361,483,P
2,783,998,N
2,409,525,P
2,566,843,P
2,629,841,N
2,527,823,P
3,209,226,P
3,219,212,P
3,357,358,N
3,496,545,N
3,344,415,P
3,841,833,N
3,418,451,P
3,622,719,N
3,636,735,N
3,530,731,P
4,219,330,P
4,222,301,P
4,348,521,N
4,487,742,N
4,372,534,N
4,773,1051,N
4,382,570,P
4,505,737,N
4,534,791,P
4,434,614,P
5,225,307,P
5,239,297,P
5,347,463,P
5,512,711,N
5,405,577,P
5,786,1066,N
5,415,610,P
5,549,779,P
5,559,741,N
5,433,706,P
6,219,342,P
6,216,287,P
6,356,557,N
6,508,768,N
6,377,529,N
6,780,969,N
6,407,526,N
6,595,772,N
6,626,826,N
6,518,722,P
