@relation data_180

@attribute site numeric
@attribute block numeric
@attribute rep {1,2}
@attribute ozone numeric
@attribute rain numeric
@attribute fam numeric
@attribute ppmhrs numeric
@attribute vwpH numeric
@attribute biomass numeric
@attribute diam numeric
@attribute DMA numeric
@attribute DMB numeric
@attribute D2HA numeric
@attribute D2HB numeric
@attribute binaryClass {P,N}

@data
1,1,?,0,3.3,1,50,-0.867,1499.72,51.25,-0.01,-0.09,0.32,-0.45,N
1,1,?,0,3.3,2,50,-0.867,1286.44,40.84,-0.01,0.09,0.32,0.45,N
1,1,?,0,4.3,1,51,0.16,1408.61,51.8,0.67,0.32,2.33,2.02,N
1,1,?,0,4.3,2,51,0.16,1911.8,49.53,0.67,-0.32,2.33,-2.02,N
1,1,?,0,5.3,1,49,1.203,1145.99,44.56,-0.12,0.52,-0.7,2.84,N
1,1,?,0,5.3,2,49,1.203,532.71,34.85,-0.12,-0.52,-0.7,-2.84,N
1,1,?,1,3.3,1,215,-0.841,902.98,44.19,-0.8,0.05,-4.71,0.58,N
1,1,?,1,3.3,2,215,-0.841,952.24,41.23,-0.8,-0.05,-4.71,-0.58,N
1,1,?,1,4.3,1,213,0.141,1061.68,45.53,-0.01,0.14,-0.16,0.62,N
1,1,?,1,4.3,2,213,0.141,919.25,41.04,-0.01,-0.14,-0.16,-0.62,N
1,1,?,1,5.3,1,216,1.187,717.25,40.48,0.09,-0.12,2.52,-1.78,N
1,1,?,1,5.3,2,216,1.187,979.54,43.54,0.09,0.12,2.52,1.78,N
1,1,?,1.7,3.3,1,374,-0.861,1252.91,50.89,0.68,0.54,5.31,3.29,N
1,1,?,1.7,3.3,2,374,-0.861,1096.47,44.44,0.68,-0.54,5.31,-3.29,N
1,1,?,1.7,4.3,1,368,0.177,845.25,39.61,0.05,-0.48,-1.13,-2.09,N
1,1,?,1.7,4.3,2,368,0.177,956.88,39.14,0.05,0.48,-1.13,2.09,N
1,1,?,1.7,5.3,1,375,1.185,645.38,38.67,0.29,-0.07,0.51,-1.2,N
1,1,?,1.7,5.3,2,375,1.185,934.2,45.96,0.29,0.07,0.51,1.2,N
1,1,?,2.5,3.3,1,542,-0.824,1711,51.57,0.39,0.76,2.46,5.43,N
1,1,?,2.5,3.3,2,542,-0.824,779.21,36.53,0.39,-0.76,2.46,-5.43,N
1,1,?,2.5,4.3,1,535,0.137,756.81,36.72,-0.33,0.28,-1.84,1.54,N
1,1,?,2.5,4.3,2,535,0.137,980.42,40.3,-0.33,-0.28,-1.84,-1.54,N
1,1,?,2.5,5.3,1,534,1.197,1434.25,51.44,0.24,0.37,1.05,1.85,N
1,1,?,2.5,5.3,2,534,1.197,703.88,38.25,0.24,-0.37,1.05,-1.85,N
1,2,?,0,3.3,1,49,-0.866,1830.33,53.42,-0.34,0.37,-2.38,2.16,N
1,2,?,0,3.3,2,49,-0.866,1203.84,50,-0.34,-0.37,-2.38,-2.16,N
1,2,?,0,4.3,1,58,0.151,1100.58,46.81,-0.37,0.03,-2.06,-0.19,N
1,2,?,0,4.3,2,58,0.151,1378.51,53.22,-0.37,-0.03,-2.06,0.19,N
1,2,?,0,5.3,1,48,1.198,809.3,43.25,-0.47,-0.13,-3.11,-0.4,N
1,2,?,0,5.3,2,48,1.198,791.92,38.65,-0.47,0.13,-3.11,0.4,N
1,2,?,1,3.3,1,219,-0.863,1261.27,47.13,-0.22,0.24,-0.79,0.69,N
1,2,?,1,3.3,2,219,-0.863,1251.26,44.68,-0.22,-0.24,-0.79,-0.69,N
1,2,?,1,4.3,1,213,0.15,1059.63,43.49,0.56,0.09,3.96,0.83,N
1,2,?,1,4.3,2,213,0.15,1048.85,44.94,0.56,-0.09,3.96,-0.83,N
1,2,?,1,5.3,1,212,1.171,1535.88,48.18,-0.15,0.03,-0.56,-0.1,N
1,2,?,1,5.3,2,212,1.171,821.1,36.36,-0.15,-0.03,-0.56,0.1,N
1,2,?,1.7,3.3,1,370,-0.865,1053.47,42.7,0.44,0.72,4.52,5.5,N
1,2,?,1.7,3.3,2,370,-0.865,1015.13,42.52,0.44,-0.72,4.52,-5.5,N
1,2,?,1.7,4.3,1,379,0.151,1138.54,46.22,-0.44,0.73,-2.39,2.99,N
1,2,?,1.7,4.3,2,379,0.151,1140.6,49.67,-0.44,-0.73,-2.39,-2.99,N
1,2,?,1.7,5.3,1,376,1.199,838.12,42.12,-0.14,0.39,-2.59,1.59,N
