@relation data_398

@attribute year numeric
@attribute rainfall numeric
@attribute binaryClass {P,N}

@data
1890,9.6,P
1891,12.9,N
1892,9.9,P
1893,8.7,P
1894,6.8,P
1895,12.5,P
1896,13,N
1897,10.1,P
1898,10.1,P
1899,10.1,N
1900,10.8,N
1901,7.8,P
1902,16.2,N
1903,14.1,P
1904,10.6,N
1905,10,N
1906,11.5,N
1907,13.6,P
1908,12.1,P
1909,12,N
1910,9.3,N
1911,7.7,P
1912,11,N
1913,6.9,P
1914,9.5,P
1915,16.5,N
1916,9.3,P
1917,9.4,N
1918,8.7,P
1919,9.5,N
1920,11.6,N
1921,12.1,N
1922,8,N
1923,10.7,N
1924,13.9,P
1925,11.3,N
1926,11.6,P
1927,10.4,N
